,실험 이름 :,20240709_cth
지속기간:,1 0
율:,20 초당
센서 :,호흡 (ID 2  실험 1)
범위:,Arb
단위 :,Arb
시각
'-0:0:0.0,10722
'0:0:0.05,10732
'0:0:0.1,10733
'0:0:0.15,10723
'0:0:0.2,10708
'0:0:0.25,10683
'0:0:0.3,10653
'0:0:0.35,10595
'0:0:0.4,10519
'0:0:0.45,10437
'0:0:0.5,10366
'0:0:0.55,10298
'0:0:0.6,10251
'0:0:0.65,10217
'0:0:0.7,10187
'0:0:0.75,10156
'0:0:0.8,10131
'0:0:0.85,10105
'0:0:0.9,10081
'0:0:0.95,10057
'0:0:1.0,10038
'0:0:1.05,10021
'0:0:1.1,10007
'0:0:1.15,9993
'0:0:1.2,9980
'0:0:1.25,9966
'0:0:1.3,9955
'0:0:1.35,9942
'0:0:1.4,9930
'0:0:1.45,9915
'0:0:1.5,9901
'0:0:1.55,9888
'0:0:1.6,9876
'0:0:1.65,9863
'0:0:1.7,9854
'0:0:1.75,9844
'0:0:1.8,9834
'0:0:1.85,9823
'0:0:1.9,9816
'0:0:1.95,9811
'0:0:2.0,9813
'0:0:2.05,9820
'0:0:2.1,9829
'0:0:2.15,9840
'0:0:2.2,9854
'0:0:2.25,9871
'0:0:2.3,9887
'0:0:2.35,9904
'0:0:2.4,9920
'0:0:2.45,9936
'0:0:2.5,9953
'0:0:2.55,9972
'0:0:2.6,9988
'0:0:2.65,10008
'0:0:2.7,10025
'0:0:2.75,10042
'0:0:2.8,10058
'0:0:2.85,10077
'0:0:2.9,10094
'0:0:2.95,10112
'0:0:3.0,10129
'0:0:3.05,10147
'0:0:3.1,10162
'0:0:3.15,10179
'0:0:3.2,10195
'0:0:3.25,10214
'0:0:3.3,10232
'0:0:3.35,10250
'0:0:3.4,10269
'0:0:3.45,10291
'0:0:3.5,10312
'0:0:3.55,10334
'0:0:3.6,10353
'0:0:3.65,10373
'0:0:3.7,10389
'0:0:3.75,10405
'0:0:3.8,10419
'0:0:3.85,10428
'0:0:3.9,10430
'0:0:3.95,10426
'0:0:4.0,10414
'0:0:4.05,10377
'0:0:4.1,10321
'0:0:4.15,10238
'0:0:4.2,10159
'0:0:4.25,10097
'0:0:4.3,10063
'0:0:4.35,10035
'0:0:4.4,10013
'0:0:4.45,9992
'0:0:4.5,9976
'0:0:4.55,9961
'0:0:4.6,9949
'0:0:4.65,9935
'0:0:4.7,9922
'0:0:4.75,9909
'0:0:4.8,9899
'0:0:4.85,9889
'0:0:4.9,9879
'0:0:4.95,9868
'0:0:5.0,9859
'0:0:5.05,9849
'0:0:5.1,9841
'0:0:5.15,9832
'0:0:5.2,9823
'0:0:5.25,9816
'0:0:5.3,9809
'0:0:5.35,9801
'0:0:5.4,9794
'0:0:5.45,9788
'0:0:5.5,9781
'0:0:5.55,9773
'0:0:5.6,9768
'0:0:5.65,9763
'0:0:5.7,9761
'0:0:5.75,9766
'0:0:5.8,9773
'0:0:5.85,9782
'0:0:5.9,9792
'0:0:5.95,9803
'0:0:6.0,9814
'0:0:6.05,9829
'0:0:6.1,9844
'0:0:6.15,9861
'0:0:6.2,9875
'0:0:6.25,9889
'0:0:6.3,9904
'0:0:6.35,9920
'0:0:6.4,9936
'0:0:6.45,9954
'0:0:6.5,9971
'0:0:6.55,9993
'0:0:6.6,10016
'0:0:6.65,10039
'0:0:6.7,10058
'0:0:6.75,10081
'0:0:6.8,10101
'0:0:6.85,10120
'0:0:6.9,10140
'0:0:6.95,10162
'0:0:7.0,10181
'0:0:7.05,10203
'0:0:7.1,10227
'0:0:7.15,10252
'0:0:7.2,10271
'0:0:7.25,10289
'0:0:7.3,10307
'0:0:7.35,10328
'0:0:7.4,10350
'0:0:7.45,10376
'0:0:7.5,10400
'0:0:7.55,10425
'0:0:7.6,10443
'0:0:7.65,10461
'0:0:7.7,10480
'0:0:7.75,10504
'0:0:7.8,10529
'0:0:7.85,10559
'0:0:7.9,10587
'0:0:7.95,10620
'0:0:8.0,10644
'0:0:8.05,10659
'0:0:8.1,10669
'0:0:8.15,10673
'0:0:8.2,10659
'0:0:8.25,10616
'0:0:8.3,10538
'0:0:8.35,10443
'0:0:8.4,10380
'0:0:8.45,10333
'0:0:8.5,10295
'0:0:8.55,10249
'0:0:8.6,10205
'0:0:8.65,10165
'0:0:8.7,10134
'0:0:8.75,10101
'0:0:8.8,10075
'0:0:8.85,10057
'0:0:8.9,10041
'0:0:8.95,10020
'0:0:9.0,10000
'0:0:9.05,9979
'0:0:9.1,9961
'0:0:9.15,9940
'0:0:9.2,9920
'0:0:9.25,9902
'0:0:9.3,9888
'0:0:9.35,9875
'0:0:9.4,9863
'0:0:9.45,9852
'0:0:9.5,9841
'0:0:9.55,9829
'0:0:9.6,9819
'0:0:9.65,9809
'0:0:9.7,9800
'0:0:9.75,9790
'0:0:9.8,9782
'0:0:9.85,9775
'0:0:9.9,9770
'0:0:9.95,9766
'0:0:10.0,9765
'0:0:10.05,9766
'0:0:10.1,9768
'0:0:10.15,9772
'0:0:10.2,9781
'0:0:10.25,9796
'0:0:10.3,9812
'0:0:10.35,9832
'0:0:10.4,9850
'0:0:10.45,9868
'0:0:10.5,9885
'0:0:10.55,9905
'0:0:10.6,9925
'0:0:10.65,9948
'0:0:10.7,9966
'0:0:10.75,9984
'0:0:10.8,10001
'0:0:10.85,10024
'0:0:10.9,10049
'0:0:10.95,10075
'0:0:11.0,10094
'0:0:11.05,10114
'0:0:11.1,10132
'0:0:11.15,10153
'0:0:11.2,10177
'0:0:11.25,10203
