,실험 이름 :,20240709_cth3
지속기간:,1 0
율:,20 초당
센서 :,호흡 (ID 2  실험 1)
범위:,Arb
단위 :,Arb
시각
'-0:0:0.0,10030
'0:0:0.05,10047
'0:0:0.1,10064
'0:0:0.15,10082
'0:0:0.2,10105
'0:0:0.25,10124
'0:0:0.3,10142
'0:0:0.35,10160
'0:0:0.4,10179
'0:0:0.45,10197
'0:0:0.5,10217
'0:0:0.55,10235
'0:0:0.6,10254
'0:0:0.65,10271
'0:0:0.7,10288
'0:0:0.75,10305
'0:0:0.8,10324
'0:0:0.85,10343
'0:0:0.9,10361
'0:0:0.95,10366
'0:0:1.0,10347
'0:0:1.05,10307
'0:0:1.1,10259
'0:0:1.15,10226
'0:0:1.2,10191
'0:0:1.25,10152
'0:0:1.3,10110
'0:0:1.35,10080
'0:0:1.4,10054
'0:0:1.45,10034
'0:0:1.5,10018
'0:0:1.55,10005
'0:0:1.6,9989
'0:0:1.65,9975
'0:0:1.7,9961
'0:0:1.75,9948
'0:0:1.8,9936
'0:0:1.85,9927
'0:0:1.9,9917
'0:0:1.95,9909
'0:0:2.0,9904
'0:0:2.05,9901
'0:0:2.1,9898
'0:0:2.15,9901
'0:0:2.2,9907
'0:0:2.25,9918
'0:0:2.3,9935
'0:0:2.35,9957
'0:0:2.4,9984
'0:0:2.45,10008
'0:0:2.5,10034
'0:0:2.55,10057
'0:0:2.6,10080
'0:0:2.65,10104
'0:0:2.7,10131
'0:0:2.75,10155
'0:0:2.8,10183
'0:0:2.85,10210
'0:0:2.9,10239
'0:0:2.95,10269
'0:0:3.0,10299
'0:0:3.05,10326
'0:0:3.1,10358
'0:0:3.15,10391
'0:0:3.2,10427
'0:0:3.25,10458
'0:0:3.3,10483
'0:0:3.35,10503
'0:0:3.4,10522
'0:0:3.45,10523
'0:0:3.5,10473
'0:0:3.55,10390
'0:0:3.6,10311
'0:0:3.65,10267
'0:0:3.7,10234
'0:0:3.75,10199
'0:0:3.8,10164
'0:0:3.85,10140
'0:0:3.9,10116
'0:0:3.95,10093
'0:0:4.0,10069
'0:0:4.05,10049
'0:0:4.1,10030
'0:0:4.15,10013
'0:0:4.2,9995
'0:0:4.25,9981
'0:0:4.3,9969
'0:0:4.35,9957
'0:0:4.4,9943
'0:0:4.45,9933
'0:0:4.5,9920
'0:0:4.55,9908
'0:0:4.6,9897
'0:0:4.65,9889
'0:0:4.7,9884
'0:0:4.75,9885
'0:0:4.8,9888
'0:0:4.85,9894
'0:0:4.9,9905
'0:0:4.95,9922
'0:0:5.0,9946
'0:0:5.05,9969
'0:0:5.1,9991
'0:0:5.15,10014
'0:0:5.2,10046
'0:0:5.25,10079
'0:0:5.3,10115
'0:0:5.35,10147
'0:0:5.4,10182
'0:0:5.45,10213
'0:0:5.5,10246
'0:0:5.55,10279
'0:0:5.6,10316
'0:0:5.65,10348
'0:0:5.7,10380
'0:0:5.75,10411
'0:0:5.8,10437
'0:0:5.85,10449
'0:0:5.9,10439
'0:0:5.95,10395
'0:0:6.0,10319
'0:0:6.05,10248
'0:0:6.1,10178
'0:0:6.15,10129
'0:0:6.2,10093
'0:0:6.25,10066
'0:0:6.3,10041
'0:0:6.35,10021
'0:0:6.4,9999
'0:0:6.45,9983
'0:0:6.5,9968
'0:0:6.55,9954
'0:0:6.6,9942
'0:0:6.65,9933
'0:0:6.7,9923
'0:0:6.75,9914
'0:0:6.8,9905
'0:0:6.85,9897
'0:0:6.9,9888
'0:0:6.95,9880
'0:0:7.0,9873
'0:0:7.05,9866
'0:0:7.1,9864
'0:0:7.15,9867
'0:0:7.2,9877
'0:0:7.25,9891
'0:0:7.3,9912
'0:0:7.35,9932
'0:0:7.4,9956
'0:0:7.45,9981
'0:0:7.5,10006
'0:0:7.55,10030
'0:0:7.6,10055
'0:0:7.65,10078
'0:0:7.7,10103
'0:0:7.75,10128
'0:0:7.8,10156
'0:0:7.85,10183
'0:0:7.9,10211
'0:0:7.95,10235
'0:0:8.0,10261
'0:0:8.05,10283
'0:0:8.1,10308
'0:0:8.15,10330
'0:0:8.2,10346
'0:0:8.25,10342
'0:0:8.3,10303
'0:0:8.35,10249
'0:0:8.4,10196
'0:0:8.45,10159
'0:0:8.5,10130
'0:0:8.55,10107
'0:0:8.6,10083
'0:0:8.65,10062
'0:0:8.7,10040
'0:0:8.75,10021
'0:0:8.8,10003
'0:0:8.85,9990
'0:0:8.9,9978
'0:0:8.95,9966
'0:0:9.0,9953
'0:0:9.05,9941
'0:0:9.1,9931
'0:0:9.15,9922
'0:0:9.2,9910
'0:0:9.25,9900
'0:0:9.3,9892
'0:0:9.35,9884
'0:0:9.4,9879
'0:0:9.45,9875
'0:0:9.5,9874
'0:0:9.55,9880
'0:0:9.6,9894
'0:0:9.65,9915
'0:0:9.7,9940
'0:0:9.75,9964
'0:0:9.8,9989
'0:0:9.85,10014
'0:0:9.9,10040
'0:0:9.95,10065
'0:0:10.0,10093
'0:0:10.05,10119
'0:0:10.1,10146
'0:0:10.15,10173
'0:0:10.2,10206
'0:0:10.25,10237
'0:0:10.3,10269
'0:0:10.35,10299
'0:0:10.4,10331
'0:0:10.45,10360
'0:0:10.5,10391
'0:0:10.55,10416
'0:0:10.6,10428
'0:0:10.65,10403
'0:0:10.7,10331
'0:0:10.75,10260
'0:0:10.8,10205
'0:0:10.85,10167
'0:0:10.9,10133
'0:0:10.95,10104
'0:0:11.0,10075
'0:0:11.05,10048
'0:0:11.1,10019
'0:0:11.15,9996
'0:0:11.2,9976
'0:0:11.25,9960
