,실험 이름 :,20240709_lsk
지속기간:,1 0
율:,20 초당
센서 :,호흡 (ID 2  실험 1)
범위:,Arb
단위 :,Arb
시각
'-0:0:0.0,5202
'0:0:0.05,5239
'0:0:0.1,5269
'0:0:0.15,5301
'0:0:0.2,5327
'0:0:0.25,5349
'0:0:0.3,5363
'0:0:0.35,5379
'0:0:0.4,5395
'0:0:0.45,5409
'0:0:0.5,5412
'0:0:0.55,5406
'0:0:0.6,5399
'0:0:0.65,5396
'0:0:0.7,5399
'0:0:0.75,5412
'0:0:0.8,5436
'0:0:0.85,5473
'0:0:0.9,5505
'0:0:0.95,5530
'0:0:1.0,5549
'0:0:1.05,5569
'0:0:1.1,5588
'0:0:1.15,5608
'0:0:1.2,5625
'0:0:1.25,5635
'0:0:1.3,5630
'0:0:1.35,5608
'0:0:1.4,5579
'0:0:1.45,5552
'0:0:1.5,5521
'0:0:1.55,5466
'0:0:1.6,5391
'0:0:1.65,5306
'0:0:1.7,5241
'0:0:1.75,5184
'0:0:1.8,5145
'0:0:1.85,5116
'0:0:1.9,5091
'0:0:1.95,5064
'0:0:2.0,5047
'0:0:2.05,5037
'0:0:2.1,5037
'0:0:2.15,5050
'0:0:2.2,5063
'0:0:2.25,5073
'0:0:2.3,5082
'0:0:2.35,5090
'0:0:2.4,5092
'0:0:2.45,5088
'0:0:2.5,5080
'0:0:2.55,5066
'0:0:2.6,5053
'0:0:2.65,5041
'0:0:2.7,5032
'0:0:2.75,5024
'0:0:2.8,5017
'0:0:2.85,5014
'0:0:2.9,5018
'0:0:2.95,5034
'0:0:3.0,5066
'0:0:3.05,5111
'0:0:3.1,5157
'0:0:3.15,5215
'0:0:3.2,5269
'0:0:3.25,5316
'0:0:3.3,5350
'0:0:3.35,5382
'0:0:3.4,5407
'0:0:3.45,5426
'0:0:3.5,5430
'0:0:3.55,5424
'0:0:3.6,5421
'0:0:3.65,5428
'0:0:3.7,5453
'0:0:3.75,5492
'0:0:3.8,5525
'0:0:3.85,5555
'0:0:3.9,5575
'0:0:3.95,5580
'0:0:4.0,5578
'0:0:4.05,5584
'0:0:4.1,5592
'0:0:4.15,5597
'0:0:4.2,5596
'0:0:4.25,5571
'0:0:4.3,5517
'0:0:4.35,5428
'0:0:4.4,5339
'0:0:4.45,5267
'0:0:4.5,5219
'0:0:4.55,5178
'0:0:4.6,5148
'0:0:4.65,5118
'0:0:4.7,5094
'0:0:4.75,5077
'0:0:4.8,5063
'0:0:4.85,5050
'0:0:4.9,5044
'0:0:4.95,5040
'0:0:5.0,5042
'0:0:5.05,5049
'0:0:5.1,5055
'0:0:5.15,5057
'0:0:5.2,5057
'0:0:5.25,5055
'0:0:5.3,5049
'0:0:5.35,5042
'0:0:5.4,5035
'0:0:5.45,5028
'0:0:5.5,5024
'0:0:5.55,5021
'0:0:5.6,5021
'0:0:5.65,5023
'0:0:5.7,5028
'0:0:5.75,5041
'0:0:5.8,5069
'0:0:5.85,5122
'0:0:5.9,5184
'0:0:5.95,5248
'0:0:6.0,5298
'0:0:6.05,5344
'0:0:6.1,5383
'0:0:6.15,5414
'0:0:6.2,5429
'0:0:6.25,5441
'0:0:6.3,5452
'0:0:6.35,5463
'0:0:6.4,5473
'0:0:6.45,5476
'0:0:6.5,5473
'0:0:6.55,5467
'0:0:6.6,5468
'0:0:6.65,5480
'0:0:6.7,5497
'0:0:6.75,5523
'0:0:6.8,5551
'0:0:6.85,5577
'0:0:6.9,5595
'0:0:6.95,5612
'0:0:7.0,5623
'0:0:7.05,5632
'0:0:7.1,5640
'0:0:7.15,5646
'0:0:7.2,5643
'0:0:7.25,5626
'0:0:7.3,5598
'0:0:7.35,5546
'0:0:7.4,5475
'0:0:7.45,5376
'0:0:7.5,5286
'0:0:7.55,5210
'0:0:7.6,5162
'0:0:7.65,5125
'0:0:7.7,5096
'0:0:7.75,5072
'0:0:7.8,5056
'0:0:7.85,5045
'0:0:7.9,5036
'0:0:7.95,5030
'0:0:8.0,5026
'0:0:8.05,5022
'0:0:8.1,5019
'0:0:8.15,5019
'0:0:8.2,5025
'0:0:8.25,5027
'0:0:8.3,5018
'0:0:8.35,5003
'0:0:8.4,4990
'0:0:8.45,4980
'0:0:8.5,4972
'0:0:8.55,4961
'0:0:8.6,4949
'0:0:8.65,4939
'0:0:8.7,4933
'0:0:8.75,4930
'0:0:8.8,4934
'0:0:8.85,4946
'0:0:8.9,4965
'0:0:8.95,5004
'0:0:9.0,5053
'0:0:9.05,5110
'0:0:9.1,5161
'0:0:9.15,5208
'0:0:9.2,5247
'0:0:9.25,5284
'0:0:9.3,5314
'0:0:9.35,5343
'0:0:9.4,5362
'0:0:9.45,5374
'0:0:9.5,5383
'0:0:9.55,5390
'0:0:9.6,5398
'0:0:9.65,5408
'0:0:9.7,5422
'0:0:9.75,5444
'0:0:9.8,5466
'0:0:9.85,5489
'0:0:9.9,5510
'0:0:9.95,5533
'0:0:10.0,5554
'0:0:10.05,5572
'0:0:10.1,5588
'0:0:10.15,5601
'0:0:10.2,5606
'0:0:10.25,5608
'0:0:10.3,5601
'0:0:10.35,5584
'0:0:10.4,5558
'0:0:10.45,5504
'0:0:10.5,5431
'0:0:10.55,5346
'0:0:10.6,5281
'0:0:10.65,5224
'0:0:10.7,5181
'0:0:10.75,5144
'0:0:10.8,5117
'0:0:10.85,5096
'0:0:10.9,5083
'0:0:10.95,5075
'0:0:11.0,5067
'0:0:11.05,5056
'0:0:11.1,5051
'0:0:11.15,5051
'0:0:11.2,5048
'0:0:11.25,5043
