,실험 이름 :,20240709_lsk2
지속기간:,1 0
율:,20 초당
센서 :,호흡 (ID 2  실험 1)
범위:,Arb
단위 :,Arb
시각
'-0:0:0.0,5777
'0:0:0.05,5778
'0:0:0.1,5781
'0:0:0.15,5786
'0:0:0.2,5797
'0:0:0.25,5814
'0:0:0.3,5828
'0:0:0.35,5839
'0:0:0.4,5844
'0:0:0.45,5845
'0:0:0.5,5843
'0:0:0.55,5837
'0:0:0.6,5829
'0:0:0.65,5819
'0:0:0.7,5815
'0:0:0.75,5824
'0:0:0.8,5881
'0:0:0.85,5992
'0:0:0.9,6081
'0:0:0.95,6147
'0:0:1.0,6192
'0:0:1.05,6227
'0:0:1.1,6254
'0:0:1.15,6276
'0:0:1.2,6288
'0:0:1.25,6298
'0:0:1.3,6309
'0:0:1.35,6320
'0:0:1.4,6329
'0:0:1.45,6341
'0:0:1.5,6358
'0:0:1.55,6382
'0:0:1.6,6411
'0:0:1.65,6451
'0:0:1.7,6486
'0:0:1.75,6510
'0:0:1.8,6525
'0:0:1.85,6542
'0:0:1.9,6558
'0:0:1.95,6574
'0:0:2.0,6587
'0:0:2.05,6596
'0:0:2.1,6598
'0:0:2.15,6596
'0:0:2.2,6574
'0:0:2.25,6502
'0:0:2.3,6393
'0:0:2.35,6268
'0:0:2.4,6175
'0:0:2.45,6095
'0:0:2.5,6036
'0:0:2.55,5983
'0:0:2.6,5945
'0:0:2.65,5914
'0:0:2.7,5898
'0:0:2.75,5887
'0:0:2.8,5875
'0:0:2.85,5864
'0:0:2.9,5863
'0:0:2.95,5866
'0:0:3.0,5872
'0:0:3.05,5886
'0:0:3.1,5893
'0:0:3.15,5889
'0:0:3.2,5883
'0:0:3.25,5879
'0:0:3.3,5877
'0:0:3.35,5874
'0:0:3.4,5872
'0:0:3.45,5872
'0:0:3.5,5871
'0:0:3.55,5870
'0:0:3.6,5867
'0:0:3.65,5865
'0:0:3.7,5865
'0:0:3.75,5868
'0:0:3.8,5876
'0:0:3.85,5899
'0:0:3.9,5947
'0:0:3.95,6026
'0:0:4.0,6096
'0:0:4.05,6161
'0:0:4.1,6214
'0:0:4.15,6262
'0:0:4.2,6298
'0:0:4.25,6327
'0:0:4.3,6348
'0:0:4.35,6370
'0:0:4.4,6394
'0:0:4.45,6424
'0:0:4.5,6450
'0:0:4.55,6470
'0:0:4.6,6486
'0:0:4.65,6508
'0:0:4.7,6537
'0:0:4.75,6587
'0:0:4.8,6644
'0:0:4.85,6700
'0:0:4.9,6737
'0:0:4.95,6767
'0:0:5.0,6789
'0:0:5.05,6805
'0:0:5.1,6814
'0:0:5.15,6815
'0:0:5.2,6804
'0:0:5.25,6783
'0:0:5.3,6756
'0:0:5.35,6715
'0:0:5.4,6656
'0:0:5.45,6562
'0:0:5.5,6453
'0:0:5.55,6336
'0:0:5.6,6247
'0:0:5.65,6169
'0:0:5.7,6112
'0:0:5.75,6064
'0:0:5.8,6030
'0:0:5.85,6001
'0:0:5.9,5981
'0:0:5.95,5965
'0:0:6.0,5952
'0:0:6.05,5943
'0:0:6.1,5937
'0:0:6.15,5930
'0:0:6.2,5925
'0:0:6.25,5918
'0:0:6.3,5909
'0:0:6.35,5900
'0:0:6.4,5896
'0:0:6.45,5892
'0:0:6.5,5887
'0:0:6.55,5881
'0:0:6.6,5876
'0:0:6.65,5870
'0:0:6.7,5864
'0:0:6.75,5859
'0:0:6.8,5859
'0:0:6.85,5867
'0:0:6.9,5888
'0:0:6.95,5928
'0:0:7.0,5981
'0:0:7.05,6060
'0:0:7.1,6136
'0:0:7.15,6204
'0:0:7.2,6254
'0:0:7.25,6300
'0:0:7.3,6333
'0:0:7.35,6357
'0:0:7.4,6376
'0:0:7.45,6404
'0:0:7.5,6437
'0:0:7.55,6472
'0:0:7.6,6497
'0:0:7.65,6519
'0:0:7.7,6541
'0:0:7.75,6570
'0:0:7.8,6594
'0:0:7.85,6609
'0:0:7.9,6613
'0:0:7.95,6607
'0:0:8.0,6591
'0:0:8.05,6564
'0:0:8.1,6529
'0:0:8.15,6490
'0:0:8.2,6454
'0:0:8.25,6391
'0:0:8.3,6307
'0:0:8.35,6215
'0:0:8.4,6148
'0:0:8.45,6090
'0:0:8.5,6043
'0:0:8.55,6005
'0:0:8.6,5981
'0:0:8.65,5963
'0:0:8.7,5954
'0:0:8.75,5952
'0:0:8.8,5949
'0:0:8.85,5945
'0:0:8.9,5945
'0:0:8.95,5951
'0:0:9.0,5965
'0:0:9.05,5977
'0:0:9.1,5979
'0:0:9.15,5973
'0:0:9.2,5964
'0:0:9.25,5953
'0:0:9.3,5943
'0:0:9.35,5933
'0:0:9.4,5927
'0:0:9.45,5920
'0:0:9.5,5914
'0:0:9.55,5911
'0:0:9.6,5915
'0:0:9.65,5931
'0:0:9.7,5965
'0:0:9.75,6018
'0:0:9.8,6076
'0:0:9.85,6142
'0:0:9.9,6193
'0:0:9.95,6237
'0:0:10.0,6273
'0:0:10.05,6306
'0:0:10.1,6331
'0:0:10.15,6357
'0:0:10.2,6378
'0:0:10.25,6403
'0:0:10.3,6430
'0:0:10.35,6459
'0:0:10.4,6481
'0:0:10.45,6505
'0:0:10.5,6538
'0:0:10.55,6589
'0:0:10.6,6640
'0:0:10.65,6690
'0:0:10.7,6726
'0:0:10.75,6753
'0:0:10.8,6772
'0:0:10.85,6782
'0:0:10.9,6780
'0:0:10.95,6762
'0:0:11.0,6732
'0:0:11.05,6685
'0:0:11.1,6635
'0:0:11.15,6566
'0:0:11.2,6477
'0:0:11.25,6368
