,실험 이름 :,20240723_cth
지속기간:,2 0
율:,20 초당
센서 :,호흡 (ID 2  실험 1)
범위:,Arb
단위 :,Arb
시각
'-0:0:0.0,4325
'0:0:0.05,4355
'0:0:0.1,4392
'0:0:0.15,4447
'0:0:0.2,4520
'0:0:0.25,4610
'0:0:0.3,4691
'0:0:0.35,4763
'0:0:0.4,4810
'0:0:0.45,4830
'0:0:0.5,4802
'0:0:0.55,4732
'0:0:0.6,4660
'0:0:0.65,4587
'0:0:0.7,4522
'0:0:0.75,4456
'0:0:0.8,4402
'0:0:0.85,4356
'0:0:0.9,4322
'0:0:0.95,4298
'0:0:1.0,4284
'0:0:1.05,4277
'0:0:1.1,4275
'0:0:1.15,4267
'0:0:1.2,4256
'0:0:1.25,4250
'0:0:1.3,4244
'0:0:1.35,4242
'0:0:1.4,4247
'0:0:1.45,4259
'0:0:1.5,4267
'0:0:1.55,4274
'0:0:1.6,4280
'0:0:1.65,4275
'0:0:1.7,4264
'0:0:1.75,4261
'0:0:1.8,4259
'0:0:1.85,4244
'0:0:1.9,4232
'0:0:1.95,4225
'0:0:2.0,4221
'0:0:2.05,4219
'0:0:2.1,4216
'0:0:2.15,4215
'0:0:2.2,4212
'0:0:2.25,4209
'0:0:2.3,4209
'0:0:2.35,4209
'0:0:2.4,4211
'0:0:2.45,4213
'0:0:2.5,4208
'0:0:2.55,4204
'0:0:2.6,4206
'0:0:2.65,4210
'0:0:2.7,4216
'0:0:2.75,4220
'0:0:2.8,4222
'0:0:2.85,4225
'0:0:2.9,4224
'0:0:2.95,4219
'0:0:3.0,4215
'0:0:3.05,4214
'0:0:3.1,4216
'0:0:3.15,4220
'0:0:3.2,4217
'0:0:3.25,4214
'0:0:3.3,4214
'0:0:3.35,4216
'0:0:3.4,4220
'0:0:3.45,4223
'0:0:3.5,4223
'0:0:3.55,4224
'0:0:3.6,4224
'0:0:3.65,4222
'0:0:3.7,4220
'0:0:3.75,4218
'0:0:3.8,4218
'0:0:3.85,4220
'0:0:3.9,4216
'0:0:3.95,4216
'0:0:4.0,4219
'0:0:4.05,4218
'0:0:4.1,4216
'0:0:4.15,4210
'0:0:4.2,4201
'0:0:4.25,4197
'0:0:4.3,4203
'0:0:4.35,4235
'0:0:4.4,4289
'0:0:4.45,4357
'0:0:4.5,4425
'0:0:4.55,4510
'0:0:4.6,4590
'0:0:4.65,4676
'0:0:4.7,4758
'0:0:4.75,4847
'0:0:4.8,4930
'0:0:4.85,5028
'0:0:4.9,5127
'0:0:4.95,5239
'0:0:5.0,5347
'0:0:5.05,5469
'0:0:5.1,5582
'0:0:5.15,5697
'0:0:5.2,5786
'0:0:5.25,5865
'0:0:5.3,5933
'0:0:5.35,6014
'0:0:5.4,6096
'0:0:5.45,6186
'0:0:5.5,6268
'0:0:5.55,6361
'0:0:5.6,6449
'0:0:5.65,6540
'0:0:5.7,6619
'0:0:5.75,6702
'0:0:5.8,6766
'0:0:5.85,6812
'0:0:5.9,6862
'0:0:5.95,6947
'0:0:6.0,7037
'0:0:6.05,7134
'0:0:6.1,7218
'0:0:6.15,7310
'0:0:6.2,7405
'0:0:6.25,7528
'0:0:6.3,7664
'0:0:6.35,7797
'0:0:6.4,7863
'0:0:6.45,7877
'0:0:6.5,7874
'0:0:6.55,7896
'0:0:6.6,7933
'0:0:6.65,7937
'0:0:6.7,7889
'0:0:6.75,7797
'0:0:6.8,7682
'0:0:6.85,7558
'0:0:6.9,7467
'0:0:6.95,7381
'0:0:7.0,7308
'0:0:7.05,7226
'0:0:7.1,7136
'0:0:7.15,7040
'0:0:7.2,6974
'0:0:7.25,6915
'0:0:7.3,6842
'0:0:7.35,6731
'0:0:7.4,6596
'0:0:7.45,6418
'0:0:7.5,6237
'0:0:7.55,6047
'0:0:7.6,5888
'0:0:7.65,5742
'0:0:7.7,5626
'0:0:7.75,5498
'0:0:7.8,5371
'0:0:7.85,5242
'0:0:7.9,5136
'0:0:7.95,5039
'0:0:8.0,4956
'0:0:8.05,4865
'0:0:8.1,4789
'0:0:8.15,4720
'0:0:8.2,4667
'0:0:8.25,4612
'0:0:8.3,4561
'0:0:8.35,4509
'0:0:8.4,4467
'0:0:8.45,4430
'0:0:8.5,4401
'0:0:8.55,4377
'0:0:8.6,4357
'0:0:8.65,4338
'0:0:8.7,4323
'0:0:8.75,4312
'0:0:8.8,4305
'0:0:8.85,4302
'0:0:8.9,4302
'0:0:8.95,4300
'0:0:9.0,4300
'0:0:9.05,4301
'0:0:9.1,4298
'0:0:9.15,4291
'0:0:9.2,4287
'0:0:9.25,4289
'0:0:9.3,4291
'0:0:9.35,4285
'0:0:9.4,4276
'0:0:9.45,4265
'0:0:9.5,4256
'0:0:9.55,4236
'0:0:9.6,4211
'0:0:9.65,4191
'0:0:9.7,4174
'0:0:9.75,4160
'0:0:9.8,4151
'0:0:9.85,4143
'0:0:9.9,4138
'0:0:9.95,4135
'0:0:10.0,4131
'0:0:10.05,4125
'0:0:10.1,4122
'0:0:10.15,4122
'0:0:10.2,4126
'0:0:10.25,4129
'0:0:10.3,4124
'0:0:10.35,4114
'0:0:10.4,4108
'0:0:10.45,4101
'0:0:10.5,4101
'0:0:10.55,4109
'0:0:10.6,4121
'0:0:10.65,4144
'0:0:10.7,4174
'0:0:10.75,4217
'0:0:10.8,4274
'0:0:10.85,4352
'0:0:10.9,4438
'0:0:10.95,4539
'0:0:11.0,4628
'0:0:11.05,4717
'0:0:11.1,4797
'0:0:11.15,4885
'0:0:11.2,4972
'0:0:11.25,5079
