,실험 이름 :,202040723_cth2
지속기간:,2 0
율:,20 초당
센서 :,호흡 (ID 2  실험 1)
범위:,Arb
단위 :,Arb
시각
'-0:0:0.0,5968
'0:0:0.05,5961
'0:0:0.1,5956
'0:0:0.15,5957
'0:0:0.2,5956
'0:0:0.25,5940
'0:0:0.3,5905
'0:0:0.35,5857
'0:0:0.4,5833
'0:0:0.45,5846
'0:0:0.5,5868
'0:0:0.55,5885
'0:0:0.6,5900
'0:0:0.65,5915
'0:0:0.7,5907
'0:0:0.75,5877
'0:0:0.8,5857
'0:0:0.85,5853
'0:0:0.9,5856
'0:0:0.95,5863
'0:0:1.0,5860
'0:0:1.05,5811
'0:0:1.1,5787
'0:0:1.15,5856
'0:0:1.2,5931
'0:0:1.25,5965
'0:0:1.3,5961
'0:0:1.35,5943
'0:0:1.4,5932
'0:0:1.45,5939
'0:0:1.5,5951
'0:0:1.55,5944
'0:0:1.6,5935
'0:0:1.65,5956
'0:0:1.7,5991
'0:0:1.75,6057
'0:0:1.8,6188
'0:0:1.85,6361
'0:0:1.9,6489
'0:0:1.95,6595
'0:0:2.0,6691
'0:0:2.05,6772
'0:0:2.1,6803
'0:0:2.15,6830
'0:0:2.2,6862
'0:0:2.25,6884
'0:0:2.3,6880
'0:0:2.35,6827
'0:0:2.4,6734
'0:0:2.45,6636
'0:0:2.5,6571
'0:0:2.55,6531
'0:0:2.6,6532
'0:0:2.65,6562
'0:0:2.7,6607
'0:0:2.75,6640
'0:0:2.8,6666
'0:0:2.85,6707
'0:0:2.9,6733
'0:0:2.95,6728
'0:0:3.0,6695
'0:0:3.05,6657
'0:0:3.1,6626
'0:0:3.15,6598
'0:0:3.2,6579
'0:0:3.25,6549
'0:0:3.3,6514
'0:0:3.35,6496
'0:0:3.4,6491
'0:0:3.45,6476
'0:0:3.5,6458
'0:0:3.55,6438
'0:0:3.6,6425
'0:0:3.65,6407
'0:0:3.7,6395
'0:0:3.75,6399
'0:0:3.8,6407
'0:0:3.85,6417
'0:0:3.9,6423
'0:0:3.95,6424
'0:0:4.0,6421
'0:0:4.05,6411
'0:0:4.1,6402
'0:0:4.15,6396
'0:0:4.2,6394
'0:0:4.25,6396
'0:0:4.3,6392
'0:0:4.35,6387
'0:0:4.4,6389
'0:0:4.45,6393
'0:0:4.5,6402
'0:0:4.55,6412
'0:0:4.6,6411
'0:0:4.65,6404
'0:0:4.7,6401
'0:0:4.75,6407
'0:0:4.8,6413
'0:0:4.85,6415
'0:0:4.9,6416
'0:0:4.95,6409
'0:0:5.0,6394
'0:0:5.05,6390
'0:0:5.1,6398
'0:0:5.15,6408
'0:0:5.2,6413
'0:0:5.25,6409
'0:0:5.3,6401
'0:0:5.35,6403
'0:0:5.4,6408
'0:0:5.45,6401
'0:0:5.5,6386
'0:0:5.55,6379
'0:0:5.6,6389
'0:0:5.65,6407
'0:0:5.7,6409
'0:0:5.75,6403
'0:0:5.8,6406
'0:0:5.85,6413
'0:0:5.9,6421
'0:0:5.95,6425
'0:0:6.0,6424
'0:0:6.05,6424
'0:0:6.1,6429
'0:0:6.15,6432
'0:0:6.2,6432
'0:0:6.25,6432
'0:0:6.3,6435
'0:0:6.35,6437
'0:0:6.4,6429
'0:0:6.45,6421
'0:0:6.5,6422
'0:0:6.55,6423
'0:0:6.6,6425
'0:0:6.65,6424
'0:0:6.7,6419
'0:0:6.75,6418
'0:0:6.8,6420
'0:0:6.85,6424
'0:0:6.9,6426
'0:0:6.95,6426
'0:0:7.0,6431
'0:0:7.05,6432
'0:0:7.1,6423
'0:0:7.15,6420
'0:0:7.2,6424
'0:0:7.25,6426
'0:0:7.3,6427
'0:0:7.35,6424
'0:0:7.4,6421
'0:0:7.45,6424
'0:0:7.5,6430
'0:0:7.55,6439
'0:0:7.6,6457
'0:0:7.65,6496
'0:0:7.7,6547
'0:0:7.75,6615
'0:0:7.8,6687
'0:0:7.85,6778
'0:0:7.9,6868
'0:0:7.95,6966
'0:0:8.0,7060
'0:0:8.05,7158
'0:0:8.1,7239
'0:0:8.15,7324
'0:0:8.2,7403
'0:0:8.25,7493
'0:0:8.3,7577
'0:0:8.35,7670
'0:0:8.4,7769
'0:0:8.45,7883
'0:0:8.5,7983
'0:0:8.55,8089
'0:0:8.6,8185
'0:0:8.65,8304
'0:0:8.7,8424
'0:0:8.75,8548
'0:0:8.8,8663
'0:0:8.85,8799
'0:0:8.9,8933
'0:0:8.95,9071
'0:0:9.0,9191
'0:0:9.05,9320
'0:0:9.1,9429
'0:0:9.15,9539
'0:0:9.2,9663
'0:0:9.25,9817
'0:0:9.3,9958
'0:0:9.35,10099
'0:0:9.4,10200
'0:0:9.45,10261
'0:0:9.5,10275
'0:0:9.55,10251
'0:0:9.6,10175
'0:0:9.65,10062
'0:0:9.7,9955
'0:0:9.75,9844
'0:0:9.8,9751
'0:0:9.85,9653
'0:0:9.9,9568
'0:0:9.95,9473
'0:0:10.0,9368
'0:0:10.05,9256
'0:0:10.1,9172
'0:0:10.15,9100
'0:0:10.2,9032
'0:0:10.25,8938
'0:0:10.3,8839
'0:0:10.35,8728
'0:0:10.4,8619
'0:0:10.45,8484
'0:0:10.5,8345
'0:0:10.55,8197
'0:0:10.6,8070
'0:0:10.65,7931
'0:0:10.7,7800
'0:0:10.75,7661
'0:0:10.8,7548
'0:0:10.85,7455
'0:0:10.9,7389
'0:0:10.95,7322
'0:0:11.0,7260
'0:0:11.05,7200
'0:0:11.1,7157
'0:0:11.15,7104
'0:0:11.2,7042
'0:0:11.25,6981
