,실험 이름 :,20240723
지속기간:,2 0
율:,20 초당
센서 :,호흡 (ID 2  실험 1)
범위:,Arb
단위 :,Arb
시각
'-0:0:0.0,5627
'0:0:0.05,5617
'0:0:0.1,5611
'0:0:0.15,5614
'0:0:0.2,5626
'0:0:0.25,5644
'0:0:0.3,5666
'0:0:0.35,5696
'0:0:0.4,5712
'0:0:0.45,5726
'0:0:0.5,5763
'0:0:0.55,5810
'0:0:0.6,5850
'0:0:0.65,5888
'0:0:0.7,5930
'0:0:0.75,6014
'0:0:0.8,6142
'0:0:0.85,6324
'0:0:0.9,6495
'0:0:0.95,6662
'0:0:1.0,6809
'0:0:1.05,6985
'0:0:1.1,7165
'0:0:1.15,7365
'0:0:1.2,7532
'0:0:1.25,7682
'0:0:1.3,7814
'0:0:1.35,7943
'0:0:1.4,8065
'0:0:1.45,8216
'0:0:1.5,8332
'0:0:1.55,8411
'0:0:1.6,8461
'0:0:1.65,8508
'0:0:1.7,8552
'0:0:1.75,8602
'0:0:1.8,8644
'0:0:1.85,8679
'0:0:1.9,8711
'0:0:1.95,8750
'0:0:2.0,8791
'0:0:2.05,8836
'0:0:2.1,8872
'0:0:2.15,8918
'0:0:2.2,8950
'0:0:2.25,8941
'0:0:2.3,8909
'0:0:2.35,8869
'0:0:2.4,8836
'0:0:2.45,8779
'0:0:2.5,8719
'0:0:2.55,8661
'0:0:2.6,8592
'0:0:2.65,8497
'0:0:2.7,8400
'0:0:2.75,8310
'0:0:2.8,8237
'0:0:2.85,8138
'0:0:2.9,8047
'0:0:2.95,7969
'0:0:3.0,7906
'0:0:3.05,7825
'0:0:3.1,7732
'0:0:3.15,7645
'0:0:3.2,7572
'0:0:3.25,7492
'0:0:3.3,7436
'0:0:3.35,7375
'0:0:3.4,7299
'0:0:3.45,7222
'0:0:3.5,7170
'0:0:3.55,7118
'0:0:3.6,7066
'0:0:3.65,7000
'0:0:3.7,6939
'0:0:3.75,6885
'0:0:3.8,6841
'0:0:3.85,6799
'0:0:3.9,6773
'0:0:3.95,6745
'0:0:4.0,6719
'0:0:4.05,6699
'0:0:4.1,6670
'0:0:4.15,6626
'0:0:4.2,6595
'0:0:4.25,6569
'0:0:4.3,6548
'0:0:4.35,6523
'0:0:4.4,6498
'0:0:4.45,6474
'0:0:4.5,6462
'0:0:4.55,6455
'0:0:4.6,6453
'0:0:4.65,6455
'0:0:4.7,6458
'0:0:4.75,6466
'0:0:4.8,6484
'0:0:4.85,6515
'0:0:4.9,6542
'0:0:4.95,6580
'0:0:5.0,6638
'0:0:5.05,6707
'0:0:5.1,6770
'0:0:5.15,6834
'0:0:5.2,6878
'0:0:5.25,6917
'0:0:5.3,6961
'0:0:5.35,7016
'0:0:5.4,7069
'0:0:5.45,7121
'0:0:5.5,7165
'0:0:5.55,7209
'0:0:5.6,7246
'0:0:5.65,7292
'0:0:5.7,7337
'0:0:5.75,7374
'0:0:5.8,7410
'0:0:5.85,7462
'0:0:5.9,7515
'0:0:5.95,7577
'0:0:6.0,7630
'0:0:6.05,7674
'0:0:6.1,7713
'0:0:6.15,7761
'0:0:6.2,7804
'0:0:6.25,7850
'0:0:6.3,7888
'0:0:6.35,7921
'0:0:6.4,7949
'0:0:6.45,7982
'0:0:6.5,8011
'0:0:6.55,8040
'0:0:6.6,8070
'0:0:6.65,8105
'0:0:6.7,8151
'0:0:6.75,8210
'0:0:6.8,8249
'0:0:6.85,8272
'0:0:6.9,8283
'0:0:6.95,8297
'0:0:7.0,8311
'0:0:7.05,8318
'0:0:7.1,8319
'0:0:7.15,8309
'0:0:7.2,8289
'0:0:7.25,8266
'0:0:7.3,8248
'0:0:7.35,8208
'0:0:7.4,8142
'0:0:7.45,8044
'0:0:7.5,7934
'0:0:7.55,7817
'0:0:7.6,7714
'0:0:7.65,7606
'0:0:7.7,7514
'0:0:7.75,7424
'0:0:7.8,7349
'0:0:7.85,7284
'0:0:7.9,7232
'0:0:7.95,7172
'0:0:8.0,7120
'0:0:8.05,7073
'0:0:8.1,7031
'0:0:8.15,6991
'0:0:8.2,6953
'0:0:8.25,6909
'0:0:8.3,6874
'0:0:8.35,6841
'0:0:8.4,6810
'0:0:8.45,6775
'0:0:8.5,6741
'0:0:8.55,6706
'0:0:8.6,6683
'0:0:8.65,6654
'0:0:8.7,6626
'0:0:8.75,6610
'0:0:8.8,6600
'0:0:8.85,6591
'0:0:8.9,6583
'0:0:8.95,6572
'0:0:9.0,6563
'0:0:9.05,6559
'0:0:9.1,6559
'0:0:9.15,6562
'0:0:9.2,6565
'0:0:9.25,6565
'0:0:9.3,6569
'0:0:9.35,6586
'0:0:9.4,6616
'0:0:9.45,6652
'0:0:9.5,6693
'0:0:9.55,6747
'0:0:9.6,6792
'0:0:9.65,6844
'0:0:9.7,6889
'0:0:9.75,6930
'0:0:9.8,6973
'0:0:9.85,7025
'0:0:9.9,7070
'0:0:9.95,7120
'0:0:10.0,7168
'0:0:10.05,7217
'0:0:10.1,7257
'0:0:10.15,7298
'0:0:10.2,7342
'0:0:10.25,7387
'0:0:10.3,7419
'0:0:10.35,7467
'0:0:10.4,7518
'0:0:10.45,7575
'0:0:10.5,7628
'0:0:10.55,7679
'0:0:10.6,7725
'0:0:10.65,7776
'0:0:10.7,7822
'0:0:10.75,7868
'0:0:10.8,7905
'0:0:10.85,7938
'0:0:10.9,7968
'0:0:10.95,8014
'0:0:11.0,8074
'0:0:11.05,8143
'0:0:11.1,8201
'0:0:11.15,8241
'0:0:11.2,8272
'0:0:11.25,8306
