,실험 이름 :,20240723_2
지속기간:,2 0
율:,20 초당
센서 :,호흡 (ID 2  실험 1)
범위:,Arb
단위 :,Arb
시각
'-0:0:0.0,6481
'0:0:0.05,6538
'0:0:0.1,6587
'0:0:0.15,6640
'0:0:0.2,6685
'0:0:0.25,6737
'0:0:0.3,6787
'0:0:0.35,6841
'0:0:0.4,6894
'0:0:0.45,6953
'0:0:0.5,7002
'0:0:0.55,7057
'0:0:0.6,7109
'0:0:0.65,7168
'0:0:0.7,7223
'0:0:0.75,7271
'0:0:0.8,7314
'0:0:0.85,7351
'0:0:0.9,7368
'0:0:0.95,7379
'0:0:1.0,7389
'0:0:1.05,7398
'0:0:1.1,7401
'0:0:1.15,7396
'0:0:1.2,7390
'0:0:1.25,7375
'0:0:1.3,7352
'0:0:1.35,7315
'0:0:1.4,7265
'0:0:1.45,7201
'0:0:1.5,7118
'0:0:1.55,6997
'0:0:1.6,6892
'0:0:1.65,6791
'0:0:1.7,6698
'0:0:1.75,6606
'0:0:1.8,6529
'0:0:1.85,6456
'0:0:1.9,6387
'0:0:1.95,6308
'0:0:2.0,6252
'0:0:2.05,6208
'0:0:2.1,6181
'0:0:2.15,6152
'0:0:2.2,6113
'0:0:2.25,6069
'0:0:2.3,6029
'0:0:2.35,5989
'0:0:2.4,5958
'0:0:2.45,5926
'0:0:2.5,5897
'0:0:2.55,5866
'0:0:2.6,5828
'0:0:2.65,5786
'0:0:2.7,5753
'0:0:2.75,5722
'0:0:2.8,5700
'0:0:2.85,5672
'0:0:2.9,5640
'0:0:2.95,5610
'0:0:3.0,5580
'0:0:3.05,5550
'0:0:3.1,5535
'0:0:3.15,5533
'0:0:3.2,5544
'0:0:3.25,5558
'0:0:3.3,5560
'0:0:3.35,5571
'0:0:3.4,5588
'0:0:3.45,5609
'0:0:3.5,5629
'0:0:3.55,5648
'0:0:3.6,5668
'0:0:3.65,5704
'0:0:3.7,5742
'0:0:3.75,5786
'0:0:3.8,5832
'0:0:3.85,5880
'0:0:3.9,5921
'0:0:3.95,5969
'0:0:4.0,5998
'0:0:4.05,6015
'0:0:4.1,6043
'0:0:4.15,6073
'0:0:4.2,6097
'0:0:4.25,6114
'0:0:4.3,6121
'0:0:4.35,6139
'0:0:4.4,6162
'0:0:4.45,6193
'0:0:4.5,6234
'0:0:4.55,6286
'0:0:4.6,6333
'0:0:4.65,6394
'0:0:4.7,6462
'0:0:4.75,6522
'0:0:4.8,6577
'0:0:4.85,6655
'0:0:4.9,6725
'0:0:4.95,6796
'0:0:5.0,6851
'0:0:5.05,6896
'0:0:5.1,6939
'0:0:5.15,6990
'0:0:5.2,7037
'0:0:5.25,7091
'0:0:5.3,7137
'0:0:5.35,7182
'0:0:5.4,7228
'0:0:5.45,7278
'0:0:5.5,7321
'0:0:5.55,7372
'0:0:5.6,7430
'0:0:5.65,7502
'0:0:5.7,7559
'0:0:5.75,7599
'0:0:5.8,7630
'0:0:5.85,7666
'0:0:5.9,7695
'0:0:5.95,7714
'0:0:6.0,7725
'0:0:6.05,7737
'0:0:6.1,7750
'0:0:6.15,7768
'0:0:6.2,7776
'0:0:6.25,7771
'0:0:6.3,7757
'0:0:6.35,7728
'0:0:6.4,7679
'0:0:6.45,7592
'0:0:6.5,7485
'0:0:6.55,7356
'0:0:6.6,7240
'0:0:6.65,7124
'0:0:6.7,7017
'0:0:6.75,6905
'0:0:6.8,6813
'0:0:6.85,6702
'0:0:6.9,6609
'0:0:6.95,6530
'0:0:7.0,6460
'0:0:7.05,6403
'0:0:7.1,6351
'0:0:7.15,6282
'0:0:7.2,6230
'0:0:7.25,6189
'0:0:7.3,6153
'0:0:7.35,6116
'0:0:7.4,6079
'0:0:7.45,6041
'0:0:7.5,6016
'0:0:7.55,5987
'0:0:7.6,5958
'0:0:7.65,5934
'0:0:7.7,5910
'0:0:7.75,5882
'0:0:7.8,5854
'0:0:7.85,5814
'0:0:7.9,5778
'0:0:7.95,5744
'0:0:8.0,5714
'0:0:8.05,5688
'0:0:8.1,5671
'0:0:8.15,5653
'0:0:8.2,5642
'0:0:8.25,5624
'0:0:8.3,5600
'0:0:8.35,5586
'0:0:8.4,5585
'0:0:8.45,5586
'0:0:8.5,5584
'0:0:8.55,5572
'0:0:8.6,5555
'0:0:8.65,5542
'0:0:8.7,5533
'0:0:8.75,5527
'0:0:8.8,5527
'0:0:8.85,5529
'0:0:8.9,5535
'0:0:8.95,5547
'0:0:9.0,5559
'0:0:9.05,5565
'0:0:9.1,5581
'0:0:9.15,5624
'0:0:9.2,5665
'0:0:9.25,5704
'0:0:9.3,5738
'0:0:9.35,5769
'0:0:9.4,5802
'0:0:9.45,5848
'0:0:9.5,5896
'0:0:9.55,5950
'0:0:9.6,5998
'0:0:9.65,6047
'0:0:9.7,6083
'0:0:9.75,6113
'0:0:9.8,6137
'0:0:9.85,6152
'0:0:9.9,6169
'0:0:9.95,6206
'0:0:10.0,6243
'0:0:10.05,6281
'0:0:10.1,6311
'0:0:10.15,6336
'0:0:10.2,6364
'0:0:10.25,6403
'0:0:10.3,6443
'0:0:10.35,6490
'0:0:10.4,6534
'0:0:10.45,6579
'0:0:10.5,6625
'0:0:10.55,6679
'0:0:10.6,6718
'0:0:10.65,6756
'0:0:10.7,6798
'0:0:10.75,6836
'0:0:10.8,6865
'0:0:10.85,6889
'0:0:10.9,6893
'0:0:10.95,6893
'0:0:11.0,6900
'0:0:11.05,6911
'0:0:11.1,6922
'0:0:11.15,6928
'0:0:11.2,6934
'0:0:11.25,6958
