,실험 이름 :,20240723_3
지속기간:,2 0
율:,20 초당
센서 :,호흡 (ID 2  실험 1)
범위:,Arb
단위 :,Arb
시각
'-0:0:0.0,6710
'0:0:0.05,6764
'0:0:0.1,6821
'0:0:0.15,6874
'0:0:0.2,6907
'0:0:0.25,6909
'0:0:0.3,6866
'0:0:0.35,6777
'0:0:0.4,6681
'0:0:0.45,6577
'0:0:0.5,6479
'0:0:0.55,6387
'0:0:0.6,6317
'0:0:0.65,6256
'0:0:0.7,6218
'0:0:0.75,6165
'0:0:0.8,6105
'0:0:0.85,6057
'0:0:0.9,6023
'0:0:0.95,5992
'0:0:1.0,5974
'0:0:1.05,5959
'0:0:1.1,5936
'0:0:1.15,5909
'0:0:1.2,5896
'0:0:1.25,5888
'0:0:1.3,5891
'0:0:1.35,5901
'0:0:1.4,5913
'0:0:1.45,5938
'0:0:1.5,5970
'0:0:1.55,6001
'0:0:1.6,6034
'0:0:1.65,6082
'0:0:1.7,6126
'0:0:1.75,6169
'0:0:1.8,6227
'0:0:1.85,6316
'0:0:1.9,6394
'0:0:1.95,6474
'0:0:2.0,6549
'0:0:2.05,6619
'0:0:2.1,6664
'0:0:2.15,6695
'0:0:2.2,6718
'0:0:2.25,6737
'0:0:2.3,6740
'0:0:2.35,6717
'0:0:2.4,6683
'0:0:2.45,6650
'0:0:2.5,6617
'0:0:2.55,6580
'0:0:2.6,6556
'0:0:2.65,6529
'0:0:2.7,6509
'0:0:2.75,6501
'0:0:2.8,6509
'0:0:2.85,6525
'0:0:2.9,6536
'0:0:2.95,6546
'0:0:3.0,6532
'0:0:3.05,6463
'0:0:3.1,6370
'0:0:3.15,6284
'0:0:3.2,6228
'0:0:3.25,6179
'0:0:3.3,6130
'0:0:3.35,6073
'0:0:3.4,6021
'0:0:3.45,5963
'0:0:3.5,5918
'0:0:3.55,5881
'0:0:3.6,5848
'0:0:3.65,5816
'0:0:3.7,5786
'0:0:3.75,5751
'0:0:3.8,5734
'0:0:3.85,5740
'0:0:3.9,5775
'0:0:3.95,5845
'0:0:4.0,5910
'0:0:4.05,5966
'0:0:4.1,6019
'0:0:4.15,6080
'0:0:4.2,6136
'0:0:4.25,6187
'0:0:4.3,6223
'0:0:4.35,6271
'0:0:4.4,6321
'0:0:4.45,6370
'0:0:4.5,6422
'0:0:4.55,6495
'0:0:4.6,6568
'0:0:4.65,6644
'0:0:4.7,6695
'0:0:4.75,6709
'0:0:4.8,6673
'0:0:4.85,6584
'0:0:4.9,6494
'0:0:4.95,6403
'0:0:5.0,6317
'0:0:5.05,6235
'0:0:5.1,6166
'0:0:5.15,6110
'0:0:5.2,6076
'0:0:5.25,6033
'0:0:5.3,5999
'0:0:5.35,5971
'0:0:5.4,5934
'0:0:5.45,5895
'0:0:5.5,5870
'0:0:5.55,5851
'0:0:5.6,5843
'0:0:5.65,5841
'0:0:5.7,5845
'0:0:5.75,5852
'0:0:5.8,5856
'0:0:5.85,5873
'0:0:5.9,5901
'0:0:5.95,5939
'0:0:6.0,5979
'0:0:6.05,6015
'0:0:6.1,6044
'0:0:6.15,6071
'0:0:6.2,6093
'0:0:6.25,6113
'0:0:6.3,6113
'0:0:6.35,6093
'0:0:6.4,6065
'0:0:6.45,6027
'0:0:6.5,5991
'0:0:6.55,5964
'0:0:6.6,5942
'0:0:6.65,5915
'0:0:6.7,5875
'0:0:6.75,5817
'0:0:6.8,5766
'0:0:6.85,5714
'0:0:6.9,5676
'0:0:6.95,5646
'0:0:7.0,5624
'0:0:7.05,5612
'0:0:7.1,5612
'0:0:7.15,5607
'0:0:7.2,5615
'0:0:7.25,5651
'0:0:7.3,5698
'0:0:7.35,5756
'0:0:7.4,5810
'0:0:7.45,5855
'0:0:7.5,5887
'0:0:7.55,5922
'0:0:7.6,5957
'0:0:7.65,5989
'0:0:7.7,6010
'0:0:7.75,6034
'0:0:7.8,6065
'0:0:7.85,6092
'0:0:7.9,6120
'0:0:7.95,6163
'0:0:8.0,6211
'0:0:8.05,6264
'0:0:8.1,6304
'0:0:8.15,6336
'0:0:8.2,6367
'0:0:8.25,6396
'0:0:8.3,6422
'0:0:8.35,6454
'0:0:8.4,6477
'0:0:8.45,6495
'0:0:8.5,6498
'0:0:8.55,6480
'0:0:8.6,6453
'0:0:8.65,6416
'0:0:8.7,6376
'0:0:8.75,6336
'0:0:8.8,6291
'0:0:8.85,6228
'0:0:8.9,6164
'0:0:8.95,6100
'0:0:9.0,6055
'0:0:9.05,6008
'0:0:9.1,5973
'0:0:9.15,5950
'0:0:9.2,5930
'0:0:9.25,5896
'0:0:9.3,5864
'0:0:9.35,5847
'0:0:9.4,5842
'0:0:9.45,5850
'0:0:9.5,5864
'0:0:9.55,5878
'0:0:9.6,5902
'0:0:9.65,5934
'0:0:9.7,5965
'0:0:9.75,6010
'0:0:9.8,6055
'0:0:9.85,6111
'0:0:9.9,6153
'0:0:9.95,6180
'0:0:10.0,6218
'0:0:10.05,6271
'0:0:10.1,6318
'0:0:10.15,6361
'0:0:10.2,6383
'0:0:10.25,6406
'0:0:10.3,6441
'0:0:10.35,6494
'0:0:10.4,6549
'0:0:10.45,6587
'0:0:10.5,6614
'0:0:10.55,6650
'0:0:10.6,6673
'0:0:10.65,6672
'0:0:10.7,6629
'0:0:10.75,6537
'0:0:10.8,6453
'0:0:10.85,6375
'0:0:10.9,6296
'0:0:10.95,6218
'0:0:11.0,6160
'0:0:11.05,6108
'0:0:11.1,6071
'0:0:11.15,6039
'0:0:11.2,6018
'0:0:11.25,6017
