,실험 이름 :,20240731_CMJ
지속기간:,2 0
율:,20 초당
센서 :,호흡 (ID 2  실험 1)
범위:,Arb
단위 :,Arb
시각
'-0:0:0.0,8704
'0:0:0.05,8736
'0:0:0.1,8776
'0:0:0.15,8809
'0:0:0.2,8835
'0:0:0.25,8848
'0:0:0.3,8852
'0:0:0.35,8856
'0:0:0.4,8865
'0:0:0.45,8871
'0:0:0.5,8880
'0:0:0.55,8888
'0:0:0.6,8894
'0:0:0.65,8901
'0:0:0.7,8901
'0:0:0.75,8895
'0:0:0.8,8887
'0:0:0.85,8883
'0:0:0.9,8890
'0:0:0.95,8895
'0:0:1.0,8888
'0:0:1.05,8883
'0:0:1.1,8879
'0:0:1.15,8873
'0:0:1.2,8861
'0:0:1.25,8839
'0:0:1.3,8799
'0:0:1.35,8749
'0:0:1.4,8693
'0:0:1.45,8629
'0:0:1.5,8548
'0:0:1.55,8482
'0:0:1.6,8419
'0:0:1.65,8364
'0:0:1.7,8310
'0:0:1.75,8264
'0:0:1.8,8214
'0:0:1.85,8176
'0:0:1.9,8148
'0:0:1.95,8127
'0:0:2.0,8104
'0:0:2.05,8085
'0:0:2.1,8069
'0:0:2.15,8056
'0:0:2.2,8045
'0:0:2.25,8035
'0:0:2.3,8022
'0:0:2.35,8016
'0:0:2.4,8011
'0:0:2.45,8003
'0:0:2.5,7996
'0:0:2.55,7996
'0:0:2.6,7997
'0:0:2.65,7996
'0:0:2.7,7994
'0:0:2.75,7991
'0:0:2.8,7990
'0:0:2.85,7989
'0:0:2.9,7986
'0:0:2.95,7984
'0:0:3.0,7984
'0:0:3.05,7981
'0:0:3.1,7977
'0:0:3.15,7979
'0:0:3.2,7983
'0:0:3.25,7990
'0:0:3.3,7998
'0:0:3.35,8002
'0:0:3.4,8004
'0:0:3.45,8005
'0:0:3.5,8007
'0:0:3.55,8008
'0:0:3.6,8013
'0:0:3.65,8013
'0:0:3.7,8013
'0:0:3.75,8017
'0:0:3.8,8024
'0:0:3.85,8029
'0:0:3.9,8030
'0:0:3.95,8029
'0:0:4.0,8027
'0:0:4.05,8026
'0:0:4.1,8023
'0:0:4.15,8020
'0:0:4.2,8019
'0:0:4.25,8013
'0:0:4.3,8006
'0:0:4.35,8005
'0:0:4.4,8006
'0:0:4.45,8007
'0:0:4.5,8008
'0:0:4.55,8006
'0:0:4.6,8006
'0:0:4.65,8006
'0:0:4.7,8004
'0:0:4.75,8005
'0:0:4.8,8008
'0:0:4.85,8010
'0:0:4.9,8021
'0:0:4.95,8038
'0:0:5.0,8058
'0:0:5.05,8077
'0:0:5.1,8096
'0:0:5.15,8116
'0:0:5.2,8140
'0:0:5.25,8163
'0:0:5.3,8191
'0:0:5.35,8219
'0:0:5.4,8247
'0:0:5.45,8276
'0:0:5.5,8317
'0:0:5.55,8355
'0:0:5.6,8387
'0:0:5.65,8409
'0:0:5.7,8426
'0:0:5.75,8439
'0:0:5.8,8449
'0:0:5.85,8452
'0:0:5.9,8451
'0:0:5.95,8447
'0:0:6.0,8449
'0:0:6.05,8463
'0:0:6.1,8484
'0:0:6.15,8507
'0:0:6.2,8531
'0:0:6.25,8549
'0:0:6.3,8570
'0:0:6.35,8591
'0:0:6.4,8618
'0:0:6.45,8641
'0:0:6.5,8654
'0:0:6.55,8666
'0:0:6.6,8684
'0:0:6.65,8703
'0:0:6.7,8725
'0:0:6.75,8742
'0:0:6.8,8756
'0:0:6.85,8764
'0:0:6.9,8774
'0:0:6.95,8787
'0:0:7.0,8797
'0:0:7.05,8810
'0:0:7.1,8828
'0:0:7.15,8838
'0:0:7.2,8846
'0:0:7.25,8852
'0:0:7.3,8856
'0:0:7.35,8854
'0:0:7.4,8847
'0:0:7.45,8839
'0:0:7.5,8825
'0:0:7.55,8808
'0:0:7.6,8799
'0:0:7.65,8789
'0:0:7.7,8779
'0:0:7.75,8770
'0:0:7.8,8746
'0:0:7.85,8721
'0:0:7.9,8688
'0:0:7.95,8646
'0:0:8.0,8605
'0:0:8.05,8576
'0:0:8.1,8552
'0:0:8.15,8547
'0:0:8.2,8552
'0:0:8.25,8552
'0:0:8.3,8555
'0:0:8.35,8557
'0:0:8.4,8555
'0:0:8.45,8544
'0:0:8.5,8523
'0:0:8.55,8515
'0:0:8.6,8505
'0:0:8.65,8481
'0:0:8.7,8446
'0:0:8.75,8410
'0:0:8.8,8360
'0:0:8.85,8296
'0:0:8.9,8216
'0:0:8.95,8144
'0:0:9.0,8075
'0:0:9.05,8029
'0:0:9.1,7998
'0:0:9.15,7980
'0:0:9.2,7964
'0:0:9.25,7950
'0:0:9.3,7937
'0:0:9.35,7925
'0:0:9.4,7914
'0:0:9.45,7908
'0:0:9.5,7901
'0:0:9.55,7897
'0:0:9.6,7897
'0:0:9.65,7898
'0:0:9.7,7899
'0:0:9.75,7902
'0:0:9.8,7903
'0:0:9.85,7908
'0:0:9.9,7917
'0:0:9.95,7923
'0:0:10.0,7926
'0:0:10.05,7928
'0:0:10.1,7927
'0:0:10.15,7925
'0:0:10.2,7923
'0:0:10.25,7923
'0:0:10.3,7922
'0:0:10.35,7923
'0:0:10.4,7929
'0:0:10.45,7934
'0:0:10.5,7938
'0:0:10.55,7941
'0:0:10.6,7941
'0:0:10.65,7941
'0:0:10.7,7941
'0:0:10.75,7939
'0:0:10.8,7937
'0:0:10.85,7937
'0:0:10.9,7939
'0:0:10.95,7939
'0:0:11.0,7940
'0:0:11.05,7944
'0:0:11.1,7949
'0:0:11.15,7954
'0:0:11.2,7958
'0:0:11.25,7959
