,실험 이름 :,20240731_CMJ2
지속기간:,2 0
율:,20 초당
센서 :,호흡 (ID 2  실험 1)
범위:,Arb
단위 :,Arb
시각
'-0:0:0.0,9710
'0:0:0.05,9740
'0:0:0.1,9766
'0:0:0.15,9786
'0:0:0.2,9803
'0:0:0.25,9820
'0:0:0.3,9842
'0:0:0.35,9863
'0:0:0.4,9888
'0:0:0.45,9914
'0:0:0.5,9942
'0:0:0.55,9965
'0:0:0.6,9990
'0:0:0.65,10018
'0:0:0.7,10053
'0:0:0.75,10087
'0:0:0.8,10120
'0:0:0.85,10145
'0:0:0.9,10167
'0:0:0.95,10178
'0:0:1.0,10179
'0:0:1.05,10185
'0:0:1.1,10207
'0:0:1.15,10238
'0:0:1.2,10282
'0:0:1.25,10328
'0:0:1.3,10380
'0:0:1.35,10426
'0:0:1.4,10468
'0:0:1.45,10494
'0:0:1.5,10513
'0:0:1.55,10521
'0:0:1.6,10521
'0:0:1.65,10518
'0:0:1.7,10520
'0:0:1.75,10525
'0:0:1.8,10527
'0:0:1.85,10522
'0:0:1.9,10510
'0:0:1.95,10495
'0:0:2.0,10473
'0:0:2.05,10441
'0:0:2.1,10406
'0:0:2.15,10377
'0:0:2.2,10340
'0:0:2.25,10309
'0:0:2.3,10281
'0:0:2.35,10257
'0:0:2.4,10239
'0:0:2.45,10219
'0:0:2.5,10182
'0:0:2.55,10147
'0:0:2.6,10115
'0:0:2.65,10079
'0:0:2.7,10034
'0:0:2.75,9996
'0:0:2.8,9950
'0:0:2.85,9896
'0:0:2.9,9827
'0:0:2.95,9756
'0:0:3.0,9676
'0:0:3.05,9605
'0:0:3.1,9538
'0:0:3.15,9479
'0:0:3.2,9418
'0:0:3.25,9369
'0:0:3.3,9323
'0:0:3.35,9288
'0:0:3.4,9252
'0:0:3.45,9220
'0:0:3.5,9187
'0:0:3.55,9159
'0:0:3.6,9132
'0:0:3.65,9112
'0:0:3.7,9095
'0:0:3.75,9080
'0:0:3.8,9067
'0:0:3.85,9057
'0:0:3.9,9044
'0:0:3.95,9035
'0:0:4.0,9027
'0:0:4.05,9021
'0:0:4.1,9017
'0:0:4.15,9015
'0:0:4.2,9011
'0:0:4.25,9009
'0:0:4.3,9008
'0:0:4.35,9006
'0:0:4.4,9003
'0:0:4.45,9003
'0:0:4.5,9004
'0:0:4.55,9003
'0:0:4.6,9003
'0:0:4.65,9006
'0:0:4.7,9010
'0:0:4.75,9012
'0:0:4.8,9013
'0:0:4.85,9014
'0:0:4.9,9013
'0:0:4.95,9013
'0:0:5.0,9017
'0:0:5.05,9021
'0:0:5.1,9023
'0:0:5.15,9025
'0:0:5.2,9023
'0:0:5.25,9022
'0:0:5.3,9024
'0:0:5.35,9027
'0:0:5.4,9032
'0:0:5.45,9039
'0:0:5.5,9045
'0:0:5.55,9049
'0:0:5.6,9052
'0:0:5.65,9054
'0:0:5.7,9057
'0:0:5.75,9059
'0:0:5.8,9056
'0:0:5.85,9053
'0:0:5.9,9052
'0:0:5.95,9053
'0:0:6.0,9056
'0:0:6.05,9063
'0:0:6.1,9071
'0:0:6.15,9076
'0:0:6.2,9078
'0:0:6.25,9078
'0:0:6.3,9079
'0:0:6.35,9080
'0:0:6.4,9081
'0:0:6.45,9081
'0:0:6.5,9084
'0:0:6.55,9086
'0:0:6.6,9086
'0:0:6.65,9091
'0:0:6.7,9102
'0:0:6.75,9117
'0:0:6.8,9131
'0:0:6.85,9141
'0:0:6.9,9150
'0:0:6.95,9159
'0:0:7.0,9166
'0:0:7.05,9167
'0:0:7.1,9169
'0:0:7.15,9173
'0:0:7.2,9175
'0:0:7.25,9176
'0:0:7.3,9177
'0:0:7.35,9178
'0:0:7.4,9182
'0:0:7.45,9191
'0:0:7.5,9203
'0:0:7.55,9214
'0:0:7.6,9230
'0:0:7.65,9242
'0:0:7.7,9250
'0:0:7.75,9258
'0:0:7.8,9269
'0:0:7.85,9281
'0:0:7.9,9301
'0:0:7.95,9323
'0:0:8.0,9347
'0:0:8.05,9369
'0:0:8.1,9394
'0:0:8.15,9417
'0:0:8.2,9443
'0:0:8.25,9466
'0:0:8.3,9488
'0:0:8.35,9509
'0:0:8.4,9534
'0:0:8.45,9556
'0:0:8.5,9577
'0:0:8.55,9596
'0:0:8.6,9615
'0:0:8.65,9631
'0:0:8.7,9650
'0:0:8.75,9665
'0:0:8.8,9675
'0:0:8.85,9680
'0:0:8.9,9691
'0:0:8.95,9707
'0:0:9.0,9732
'0:0:9.05,9763
'0:0:9.1,9797
'0:0:9.15,9826
'0:0:9.2,9857
'0:0:9.25,9888
'0:0:9.3,9920
'0:0:9.35,9943
'0:0:9.4,9964
'0:0:9.45,9990
'0:0:9.5,10029
'0:0:9.55,10074
'0:0:9.6,10123
'0:0:9.65,10169
'0:0:9.7,10221
'0:0:9.75,10259
'0:0:9.8,10284
'0:0:9.85,10306
'0:0:9.9,10334
'0:0:9.95,10349
'0:0:10.0,10343
'0:0:10.05,10338
'0:0:10.1,10347
'0:0:10.15,10354
'0:0:10.2,10367
'0:0:10.25,10388
'0:0:10.3,10415
'0:0:10.35,10445
'0:0:10.4,10479
'0:0:10.45,10508
'0:0:10.5,10540
'0:0:10.55,10565
'0:0:10.6,10591
'0:0:10.65,10617
'0:0:10.7,10644
'0:0:10.75,10660
'0:0:10.8,10664
'0:0:10.85,10661
'0:0:10.9,10663
'0:0:10.95,10668
'0:0:11.0,10668
'0:0:11.05,10659
'0:0:11.1,10637
'0:0:11.15,10614
'0:0:11.2,10584
'0:0:11.25,10547
