,실험 이름 :,20240731_CMJ_3
지속기간:,2 0
율:,20 초당
센서 :,호흡 (ID 2  실험 1)
범위:,Arb
단위 :,Arb
시각
'-0:0:0.0,7374
'0:0:0.05,7402
'0:0:0.1,7430
'0:0:0.15,7460
'0:0:0.2,7485
'0:0:0.25,7516
'0:0:0.3,7547
'0:0:0.35,7583
'0:0:0.4,7608
'0:0:0.45,7619
'0:0:0.5,7615
'0:0:0.55,7606
'0:0:0.6,7607
'0:0:0.65,7620
'0:0:0.7,7639
'0:0:0.75,7653
'0:0:0.8,7653
'0:0:0.85,7646
'0:0:0.9,7653
'0:0:0.95,7683
'0:0:1.0,7712
'0:0:1.05,7741
'0:0:1.1,7765
'0:0:1.15,7784
'0:0:1.2,7805
'0:0:1.25,7834
'0:0:1.3,7859
'0:0:1.35,7857
'0:0:1.4,7832
'0:0:1.45,7807
'0:0:1.5,7788
'0:0:1.55,7777
'0:0:1.6,7761
'0:0:1.65,7728
'0:0:1.7,7702
'0:0:1.75,7673
'0:0:1.8,7637
'0:0:1.85,7586
'0:0:1.9,7538
'0:0:1.95,7501
'0:0:2.0,7495
'0:0:2.05,7500
'0:0:2.1,7491
'0:0:2.15,7477
'0:0:2.2,7458
'0:0:2.25,7435
'0:0:2.3,7416
'0:0:2.35,7384
'0:0:2.4,7347
'0:0:2.45,7303
'0:0:2.5,7257
'0:0:2.55,7205
'0:0:2.6,7159
'0:0:2.65,7111
'0:0:2.7,7068
'0:0:2.75,7024
'0:0:2.8,6986
'0:0:2.85,6956
'0:0:2.9,6946
'0:0:2.95,6940
'0:0:3.0,6926
'0:0:3.05,6908
'0:0:3.1,6891
'0:0:3.15,6869
'0:0:3.2,6849
'0:0:3.25,6835
'0:0:3.3,6827
'0:0:3.35,6819
'0:0:3.4,6809
'0:0:3.45,6792
'0:0:3.5,6780
'0:0:3.55,6773
'0:0:3.6,6765
'0:0:3.65,6749
'0:0:3.7,6728
'0:0:3.75,6706
'0:0:3.8,6687
'0:0:3.85,6667
'0:0:3.9,6650
'0:0:3.95,6627
'0:0:4.0,6603
'0:0:4.05,6578
'0:0:4.1,6557
'0:0:4.15,6532
'0:0:4.2,6509
'0:0:4.25,6488
'0:0:4.3,6472
'0:0:4.35,6457
'0:0:4.4,6449
'0:0:4.45,6448
'0:0:4.5,6451
'0:0:4.55,6453
'0:0:4.6,6451
'0:0:4.65,6448
'0:0:4.7,6446
'0:0:4.75,6443
'0:0:4.8,6440
'0:0:4.85,6442
'0:0:4.9,6443
'0:0:4.95,6441
'0:0:5.0,6438
'0:0:5.05,6433
'0:0:5.1,6427
'0:0:5.15,6423
'0:0:5.2,6420
'0:0:5.25,6421
'0:0:5.3,6422
'0:0:5.35,6425
'0:0:5.4,6428
'0:0:5.45,6427
'0:0:5.5,6426
'0:0:5.55,6424
'0:0:5.6,6421
'0:0:5.65,6424
'0:0:5.7,6428
'0:0:5.75,6431
'0:0:5.8,6432
'0:0:5.85,6429
'0:0:5.9,6424
'0:0:5.95,6421
'0:0:6.0,6421
'0:0:6.05,6422
'0:0:6.1,6424
'0:0:6.15,6424
'0:0:6.2,6422
'0:0:6.25,6429
'0:0:6.3,6442
'0:0:6.35,6458
'0:0:6.4,6475
'0:0:6.45,6493
'0:0:6.5,6508
'0:0:6.55,6529
'0:0:6.6,6550
'0:0:6.65,6576
'0:0:6.7,6599
'0:0:6.75,6623
'0:0:6.8,6646
'0:0:6.85,6668
'0:0:6.9,6687
'0:0:6.95,6709
'0:0:7.0,6730
'0:0:7.05,6755
'0:0:7.1,6780
'0:0:7.15,6807
'0:0:7.2,6834
'0:0:7.25,6865
'0:0:7.3,6894
'0:0:7.35,6930
'0:0:7.4,6968
'0:0:7.45,7010
'0:0:7.5,7048
'0:0:7.55,7084
'0:0:7.6,7110
'0:0:7.65,7137
'0:0:7.7,7166
'0:0:7.75,7197
'0:0:7.8,7224
'0:0:7.85,7246
'0:0:7.9,7263
'0:0:7.95,7278
'0:0:8.0,7290
'0:0:8.05,7299
'0:0:8.1,7297
'0:0:8.15,7294
'0:0:8.2,7303
'0:0:8.25,7310
'0:0:8.3,7312
'0:0:8.35,7313
'0:0:8.4,7307
'0:0:8.45,7298
'0:0:8.5,7292
'0:0:8.55,7285
'0:0:8.6,7277
'0:0:8.65,7266
'0:0:8.7,7252
'0:0:8.75,7234
'0:0:8.8,7227
'0:0:8.85,7221
'0:0:8.9,7205
'0:0:8.95,7187
'0:0:9.0,7176
'0:0:9.05,7163
'0:0:9.1,7148
'0:0:9.15,7127
'0:0:9.2,7100
'0:0:9.25,7059
'0:0:9.3,7010
'0:0:9.35,6947
'0:0:9.4,6888
'0:0:9.45,6831
'0:0:9.5,6786
'0:0:9.55,6737
'0:0:9.6,6683
'0:0:9.65,6626
'0:0:9.7,6577
'0:0:9.75,6528
'0:0:9.8,6489
'0:0:9.85,6451
'0:0:9.9,6420
'0:0:9.95,6392
'0:0:10.0,6370
'0:0:10.05,6353
'0:0:10.1,6341
'0:0:10.15,6331
'0:0:10.2,6325
'0:0:10.25,6322
'0:0:10.3,6325
'0:0:10.35,6329
'0:0:10.4,6329
'0:0:10.45,6327
'0:0:10.5,6326
'0:0:10.55,6326
'0:0:10.6,6330
'0:0:10.65,6334
'0:0:10.7,6336
'0:0:10.75,6339
'0:0:10.8,6343
'0:0:10.85,6347
'0:0:10.9,6351
'0:0:10.95,6355
'0:0:11.0,6360
'0:0:11.05,6365
'0:0:11.1,6369
'0:0:11.15,6374
'0:0:11.2,6377
'0:0:11.25,6375
