,실험 이름 :,20240731_CTH
지속기간:,2 0
율:,20 초당
센서 :,호흡 (ID 2  실험 1)
범위:,Arb
단위 :,Arb
시각
'-0:0:0.0,5040
'0:0:0.05,5008
'0:0:0.1,4998
'0:0:0.15,4999
'0:0:0.2,5012
'0:0:0.25,5027
'0:0:0.3,5039
'0:0:0.35,5058
'0:0:0.4,5094
'0:0:0.45,5166
'0:0:0.5,5253
'0:0:0.55,5352
'0:0:0.6,5451
'0:0:0.65,5562
'0:0:0.7,5660
'0:0:0.75,5777
'0:0:0.8,5890
'0:0:0.85,6006
'0:0:0.9,6108
'0:0:0.95,6206
'0:0:1.0,6282
'0:0:1.05,6360
'0:0:1.1,6433
'0:0:1.15,6509
'0:0:1.2,6575
'0:0:1.25,6639
'0:0:1.3,6695
'0:0:1.35,6757
'0:0:1.4,6816
'0:0:1.45,6878
'0:0:1.5,6933
'0:0:1.55,6998
'0:0:1.6,7061
'0:0:1.65,7128
'0:0:1.7,7185
'0:0:1.75,7226
'0:0:1.8,7248
'0:0:1.85,7260
'0:0:1.9,7259
'0:0:1.95,7226
'0:0:2.0,7193
'0:0:2.05,7147
'0:0:2.1,7051
'0:0:2.15,6906
'0:0:2.2,6768
'0:0:2.25,6641
'0:0:2.3,6545
'0:0:2.35,6446
'0:0:2.4,6352
'0:0:2.45,6247
'0:0:2.5,6146
'0:0:2.55,6044
'0:0:2.6,5953
'0:0:2.65,5857
'0:0:2.7,5782
'0:0:2.75,5704
'0:0:2.8,5635
'0:0:2.85,5560
'0:0:2.9,5490
'0:0:2.95,5420
'0:0:3.0,5363
'0:0:3.05,5306
'0:0:3.1,5251
'0:0:3.15,5195
'0:0:3.2,5159
'0:0:3.25,5119
'0:0:3.3,5080
'0:0:3.35,5051
'0:0:3.4,5027
'0:0:3.45,5006
'0:0:3.5,4991
'0:0:3.55,4974
'0:0:3.6,4963
'0:0:3.65,4952
'0:0:3.7,4942
'0:0:3.75,4935
'0:0:3.8,4929
'0:0:3.85,4927
'0:0:3.9,4932
'0:0:3.95,4929
'0:0:4.0,4921
'0:0:4.05,4924
'0:0:4.1,4925
'0:0:4.15,4930
'0:0:4.2,4940
'0:0:4.25,4951
'0:0:4.3,4964
'0:0:4.35,4976
'0:0:4.4,4987
'0:0:4.45,5006
'0:0:4.5,5034
'0:0:4.55,5071
'0:0:4.6,5112
'0:0:4.65,5162
'0:0:4.7,5199
'0:0:4.75,5244
'0:0:4.8,5302
'0:0:4.85,5370
'0:0:4.9,5439
'0:0:4.95,5517
'0:0:5.0,5590
'0:0:5.05,5669
'0:0:5.1,5743
'0:0:5.15,5824
'0:0:5.2,5891
'0:0:5.25,5947
'0:0:5.3,5994
'0:0:5.35,6058
'0:0:5.4,6123
'0:0:5.45,6192
'0:0:5.5,6254
'0:0:5.55,6313
'0:0:5.6,6367
'0:0:5.65,6428
'0:0:5.7,6490
'0:0:5.75,6563
'0:0:5.8,6626
'0:0:5.85,6688
'0:0:5.9,6739
'0:0:5.95,6802
'0:0:6.0,6866
'0:0:6.05,6908
'0:0:6.1,6928
'0:0:6.15,6973
'0:0:6.2,7030
'0:0:6.25,7083
'0:0:6.3,7129
'0:0:6.35,7185
'0:0:6.4,7222
'0:0:6.45,7238
'0:0:6.5,7262
'0:0:6.55,7297
'0:0:6.6,7307
'0:0:6.65,7297
'0:0:6.7,7290
'0:0:6.75,7264
'0:0:6.8,7191
'0:0:6.85,7072
'0:0:6.9,6920
'0:0:6.95,6723
'0:0:7.0,6546
'0:0:7.05,6379
'0:0:7.1,6244
'0:0:7.15,6109
'0:0:7.2,5993
'0:0:7.25,5879
'0:0:7.3,5785
'0:0:7.35,5688
'0:0:7.4,5607
'0:0:7.45,5523
'0:0:7.5,5449
'0:0:7.55,5381
'0:0:7.6,5327
'0:0:7.65,5274
'0:0:7.7,5229
'0:0:7.75,5186
'0:0:7.8,5156
'0:0:7.85,5122
'0:0:7.9,5086
'0:0:7.95,5057
'0:0:8.0,5037
'0:0:8.05,5022
'0:0:8.1,5013
'0:0:8.15,5001
'0:0:8.2,4990
'0:0:8.25,4977
'0:0:8.3,4965
'0:0:8.35,4956
'0:0:8.4,4948
'0:0:8.45,4942
'0:0:8.5,4938
'0:0:8.55,4933
'0:0:8.6,4931
'0:0:8.65,4933
'0:0:8.7,4925
'0:0:8.75,4910
'0:0:8.8,4904
'0:0:8.85,4899
'0:0:8.9,4896
'0:0:8.95,4897
'0:0:9.0,4898
'0:0:9.05,4899
'0:0:9.1,4900
'0:0:9.15,4905
'0:0:9.2,4917
'0:0:9.25,4938
'0:0:9.3,4965
'0:0:9.35,5002
'0:0:9.4,5039
'0:0:9.45,5093
'0:0:9.5,5148
'0:0:9.55,5202
'0:0:9.6,5259
'0:0:9.65,5335
'0:0:9.7,5408
'0:0:9.75,5487
'0:0:9.8,5558
'0:0:9.85,5634
'0:0:9.9,5705
'0:0:9.95,5780
'0:0:10.0,5844
'0:0:10.05,5906
'0:0:10.1,5964
'0:0:10.15,6033
'0:0:10.2,6096
'0:0:10.25,6162
'0:0:10.3,6223
'0:0:10.35,6293
'0:0:10.4,6360
'0:0:10.45,6422
'0:0:10.5,6467
'0:0:10.55,6518
'0:0:10.6,6575
'0:0:10.65,6636
'0:0:10.7,6694
'0:0:10.75,6746
'0:0:10.8,6777
'0:0:10.85,6804
'0:0:10.9,6826
'0:0:10.95,6850
'0:0:11.0,6883
'0:0:11.05,6930
'0:0:11.1,6955
'0:0:11.15,6954
'0:0:11.2,6934
'0:0:11.25,6885
