,실험 이름 :,20240731_CTH_3
지속기간:,2 0
율:,20 초당
센서 :,호흡 (ID 2  실험 1)
범위:,Arb
단위 :,Arb
시각
'-0:0:0.0,4049
'0:0:0.05,4096
'0:0:0.1,4152
'0:0:0.15,4196
'0:0:0.2,4241
'0:0:0.25,4277
'0:0:0.3,4310
'0:0:0.35,4349
'0:0:0.4,4398
'0:0:0.45,4448
'0:0:0.5,4501
'0:0:0.55,4541
'0:0:0.6,4582
'0:0:0.65,4626
'0:0:0.7,4668
'0:0:0.75,4699
'0:0:0.8,4727
'0:0:0.85,4748
'0:0:0.9,4777
'0:0:0.95,4814
'0:0:1.0,4854
'0:0:1.05,4882
'0:0:1.1,4902
'0:0:1.15,4897
'0:0:1.2,4844
'0:0:1.25,4746
'0:0:1.3,4604
'0:0:1.35,4468
'0:0:1.4,4341
'0:0:1.45,4245
'0:0:1.5,4156
'0:0:1.55,4087
'0:0:1.6,4026
'0:0:1.65,3978
'0:0:1.7,3935
'0:0:1.75,3903
'0:0:1.8,3876
'0:0:1.85,3860
'0:0:1.9,3847
'0:0:1.95,3833
'0:0:2.0,3818
'0:0:2.05,3808
'0:0:2.1,3799
'0:0:2.15,3793
'0:0:2.2,3791
'0:0:2.25,3793
'0:0:2.3,3806
'0:0:2.35,3840
'0:0:2.4,3893
'0:0:2.45,3943
'0:0:2.5,4002
'0:0:2.55,4059
'0:0:2.6,4118
'0:0:2.65,4174
'0:0:2.7,4232
'0:0:2.75,4284
'0:0:2.8,4343
'0:0:2.85,4397
'0:0:2.9,4461
'0:0:2.95,4525
'0:0:3.0,4588
'0:0:3.05,4643
'0:0:3.1,4704
'0:0:3.15,4760
'0:0:3.2,4823
'0:0:3.25,4884
'0:0:3.3,4948
'0:0:3.35,5002
'0:0:3.4,5053
'0:0:3.45,5108
'0:0:3.5,5182
'0:0:3.55,5252
'0:0:3.6,5308
'0:0:3.65,5345
'0:0:3.7,5388
'0:0:3.75,5434
'0:0:3.8,5482
'0:0:3.85,5520
'0:0:3.9,5546
'0:0:3.95,5553
'0:0:4.0,5536
'0:0:4.05,5477
'0:0:4.1,5335
'0:0:4.15,5130
'0:0:4.2,4902
'0:0:4.25,4722
'0:0:4.3,4547
'0:0:4.35,4412
'0:0:4.4,4295
'0:0:4.45,4203
'0:0:4.5,4117
'0:0:4.55,4052
'0:0:4.6,3994
'0:0:4.65,3945
'0:0:4.7,3898
'0:0:4.75,3860
'0:0:4.8,3820
'0:0:4.85,3792
'0:0:4.9,3772
'0:0:4.95,3757
'0:0:5.0,3747
'0:0:5.05,3740
'0:0:5.1,3730
'0:0:5.15,3725
'0:0:5.2,3723
'0:0:5.25,3725
'0:0:5.3,3729
'0:0:5.35,3737
'0:0:5.4,3749
'0:0:5.45,3761
'0:0:5.5,3775
'0:0:5.55,3794
'0:0:5.6,3811
'0:0:5.65,3824
'0:0:5.7,3849
'0:0:5.75,3880
'0:0:5.8,3921
'0:0:5.85,3965
'0:0:5.9,4017
'0:0:5.95,4069
'0:0:6.0,4131
'0:0:6.05,4186
'0:0:6.1,4242
'0:0:6.15,4291
'0:0:6.2,4342
'0:0:6.25,4387
'0:0:6.3,4435
'0:0:6.35,4484
'0:0:6.4,4541
'0:0:6.45,4592
'0:0:6.5,4647
'0:0:6.55,4700
'0:0:6.6,4754
'0:0:6.65,4798
'0:0:6.7,4836
'0:0:6.75,4869
'0:0:6.8,4899
'0:0:6.85,4917
'0:0:6.9,4929
'0:0:6.95,4926
'0:0:7.0,4882
'0:0:7.05,4784
'0:0:7.1,4632
'0:0:7.15,4476
'0:0:7.2,4315
'0:0:7.25,4192
'0:0:7.3,4095
'0:0:7.35,4033
'0:0:7.4,3978
'0:0:7.45,3935
'0:0:7.5,3901
'0:0:7.55,3872
'0:0:7.6,3843
'0:0:7.65,3818
'0:0:7.7,3793
'0:0:7.75,3775
'0:0:7.8,3759
'0:0:7.85,3752
'0:0:7.9,3748
'0:0:7.95,3746
'0:0:8.0,3748
'0:0:8.05,3754
'0:0:8.1,3755
'0:0:8.15,3756
'0:0:8.2,3763
'0:0:8.25,3774
'0:0:8.3,3793
'0:0:8.35,3813
'0:0:8.4,3833
'0:0:8.45,3852
'0:0:8.5,3876
'0:0:8.55,3899
'0:0:8.6,3925
'0:0:8.65,3951
'0:0:8.7,3985
'0:0:8.75,4018
'0:0:8.8,4054
'0:0:8.85,4091
'0:0:8.9,4128
'0:0:8.95,4161
'0:0:9.0,4202
'0:0:9.05,4242
'0:0:9.1,4296
'0:0:9.15,4356
'0:0:9.2,4420
'0:0:9.25,4473
'0:0:9.3,4526
'0:0:9.35,4585
'0:0:9.4,4659
'0:0:9.45,4723
'0:0:9.5,4784
'0:0:9.55,4836
'0:0:9.6,4890
'0:0:9.65,4934
'0:0:9.7,4984
'0:0:9.75,5039
'0:0:9.8,5100
'0:0:9.85,5149
'0:0:9.9,5186
'0:0:9.95,5209
'0:0:10.0,5230
'0:0:10.05,5238
'0:0:10.1,5215
'0:0:10.15,5158
'0:0:10.2,5045
'0:0:10.25,4883
'0:0:10.3,4666
'0:0:10.35,4477
'0:0:10.4,4315
'0:0:10.45,4199
'0:0:10.5,4103
'0:0:10.55,4034
'0:0:10.6,3979
'0:0:10.65,3936
'0:0:10.7,3894
'0:0:10.75,3864
'0:0:10.8,3833
'0:0:10.85,3809
'0:0:10.9,3789
'0:0:10.95,3774
'0:0:11.0,3764
'0:0:11.05,3758
'0:0:11.1,3753
'0:0:11.15,3751
'0:0:11.2,3749
'0:0:11.25,3750
