,실험 이름 :,20240731_LSK
지속기간:,2 0
율:,20 초당
센서 :,호흡 (ID 2  실험 1)
범위:,Arb
단위 :,Arb
시각
'-0:0:0.0,9085
'0:0:0.05,9078
'0:0:0.1,9072
'0:0:0.15,9067
'0:0:0.2,9059
'0:0:0.25,9053
'0:0:0.3,9047
'0:0:0.35,9042
'0:0:0.4,9036
'0:0:0.45,9030
'0:0:0.5,9025
'0:0:0.55,9022
'0:0:0.6,9019
'0:0:0.65,9017
'0:0:0.7,9016
'0:0:0.75,9015
'0:0:0.8,9013
'0:0:0.85,9011
'0:0:0.9,9009
'0:0:0.95,9008
'0:0:1.0,9008
'0:0:1.05,9008
'0:0:1.1,9002
'0:0:1.15,8997
'0:0:1.2,8996
'0:0:1.25,8996
'0:0:1.3,9000
'0:0:1.35,9009
'0:0:1.4,9024
'0:0:1.45,9041
'0:0:1.5,9065
'0:0:1.55,9089
'0:0:1.6,9117
'0:0:1.65,9141
'0:0:1.7,9164
'0:0:1.75,9184
'0:0:1.8,9204
'0:0:1.85,9223
'0:0:1.9,9243
'0:0:1.95,9259
'0:0:2.0,9278
'0:0:2.05,9294
'0:0:2.1,9311
'0:0:2.15,9328
'0:0:2.2,9349
'0:0:2.25,9370
'0:0:2.3,9389
'0:0:2.35,9405
'0:0:2.4,9421
'0:0:2.45,9431
'0:0:2.5,9438
'0:0:2.55,9444
'0:0:2.6,9455
'0:0:2.65,9468
'0:0:2.7,9484
'0:0:2.75,9499
'0:0:2.8,9514
'0:0:2.85,9524
'0:0:2.9,9536
'0:0:2.95,9549
'0:0:3.0,9566
'0:0:3.05,9583
'0:0:3.1,9603
'0:0:3.15,9625
'0:0:3.2,9655
'0:0:3.25,9683
'0:0:3.3,9710
'0:0:3.35,9731
'0:0:3.4,9748
'0:0:3.45,9762
'0:0:3.5,9773
'0:0:3.55,9782
'0:0:3.6,9791
'0:0:3.65,9795
'0:0:3.7,9787
'0:0:3.75,9773
'0:0:3.8,9748
'0:0:3.85,9716
'0:0:3.9,9680
'0:0:3.95,9648
'0:0:4.0,9612
'0:0:4.05,9576
'0:0:4.1,9534
'0:0:4.15,9494
'0:0:4.2,9451
'0:0:4.25,9413
'0:0:4.3,9370
'0:0:4.35,9330
'0:0:4.4,9291
'0:0:4.45,9261
'0:0:4.5,9233
'0:0:4.55,9208
'0:0:4.6,9184
'0:0:4.65,9162
'0:0:4.7,9138
'0:0:4.75,9121
'0:0:4.8,9105
'0:0:4.85,9092
'0:0:4.9,9077
'0:0:4.95,9059
'0:0:5.0,9044
'0:0:5.05,9034
'0:0:5.1,9026
'0:0:5.15,9022
'0:0:5.2,9019
'0:0:5.25,9016
'0:0:5.3,9013
'0:0:5.35,9009
'0:0:5.4,9006
'0:0:5.45,9003
'0:0:5.5,9001
'0:0:5.55,8997
'0:0:5.6,8993
'0:0:5.65,8991
'0:0:5.7,8990
'0:0:5.75,8988
'0:0:5.8,8985
'0:0:5.85,8982
'0:0:5.9,8980
'0:0:5.95,8978
'0:0:6.0,8976
'0:0:6.05,8974
'0:0:6.1,8972
'0:0:6.15,8970
'0:0:6.2,8968
'0:0:6.25,8968
'0:0:6.3,8964
'0:0:6.35,8957
'0:0:6.4,8953
'0:0:6.45,8950
'0:0:6.5,8951
'0:0:6.55,8953
'0:0:6.6,8958
'0:0:6.65,8963
'0:0:6.7,8969
'0:0:6.75,8977
'0:0:6.8,8988
'0:0:6.85,8999
'0:0:6.9,9012
'0:0:6.95,9026
'0:0:7.0,9042
'0:0:7.05,9056
'0:0:7.1,9072
'0:0:7.15,9088
'0:0:7.2,9106
'0:0:7.25,9121
'0:0:7.3,9139
'0:0:7.35,9158
'0:0:7.4,9179
'0:0:7.45,9199
'0:0:7.5,9219
'0:0:7.55,9238
'0:0:7.6,9259
'0:0:7.65,9277
'0:0:7.7,9291
'0:0:7.75,9303
'0:0:7.8,9320
'0:0:7.85,9338
'0:0:7.9,9358
'0:0:7.95,9378
'0:0:8.0,9400
'0:0:8.05,9416
'0:0:8.1,9428
'0:0:8.15,9439
'0:0:8.2,9453
'0:0:8.25,9466
'0:0:8.3,9481
'0:0:8.35,9499
'0:0:8.4,9524
'0:0:8.45,9549
'0:0:8.5,9575
'0:0:8.55,9597
'0:0:8.6,9617
'0:0:8.65,9633
'0:0:8.7,9646
'0:0:8.75,9655
'0:0:8.8,9666
'0:0:8.85,9675
'0:0:8.9,9677
'0:0:8.95,9672
'0:0:9.0,9664
'0:0:9.05,9656
'0:0:9.1,9648
'0:0:9.15,9643
'0:0:9.2,9639
'0:0:9.25,9632
'0:0:9.3,9619
'0:0:9.35,9604
'0:0:9.4,9593
'0:0:9.45,9588
'0:0:9.5,9581
'0:0:9.55,9570
'0:0:9.6,9554
'0:0:9.65,9541
'0:0:9.7,9526
'0:0:9.75,9511
'0:0:9.8,9494
'0:0:9.85,9473
'0:0:9.9,9447
'0:0:9.95,9424
'0:0:10.0,9398
'0:0:10.05,9368
'0:0:10.1,9333
'0:0:10.15,9302
'0:0:10.2,9273
'0:0:10.25,9249
'0:0:10.3,9227
'0:0:10.35,9208
'0:0:10.4,9188
'0:0:10.45,9168
'0:0:10.5,9148
'0:0:10.55,9132
'0:0:10.6,9117
'0:0:10.65,9103
'0:0:10.7,9090
'0:0:10.75,9080
'0:0:10.8,9071
'0:0:10.85,9063
'0:0:10.9,9054
'0:0:10.95,9047
'0:0:11.0,9040
'0:0:11.05,9033
'0:0:11.1,9024
'0:0:11.15,9016
'0:0:11.2,9009
'0:0:11.25,9001
