,실험 이름 :,20240731_LSK2
지속기간:,2 0
율:,20 초당
센서 :,호흡 (ID 2  실험 1)
범위:,Arb
단위 :,Arb
시각
'-0:0:0.0,13326
'0:0:0.05,13309
'0:0:0.1,13298
'0:0:0.15,13286
'0:0:0.2,13271
'0:0:0.25,13253
'0:0:0.3,13237
'0:0:0.35,13221
'0:0:0.4,13204
'0:0:0.45,13183
'0:0:0.5,13165
'0:0:0.55,13144
'0:0:0.6,13124
'0:0:0.65,13104
'0:0:0.7,13089
'0:0:0.75,13076
'0:0:0.8,13065
'0:0:0.85,13056
'0:0:0.9,13052
'0:0:0.95,13047
'0:0:1.0,13039
'0:0:1.05,13035
'0:0:1.1,13038
'0:0:1.15,13039
'0:0:1.2,13039
'0:0:1.25,13042
'0:0:1.3,13043
'0:0:1.35,13040
'0:0:1.4,13041
'0:0:1.45,13043
'0:0:1.5,13042
'0:0:1.55,13041
'0:0:1.6,13041
'0:0:1.65,13040
'0:0:1.7,13040
'0:0:1.75,13041
'0:0:1.8,13044
'0:0:1.85,13049
'0:0:1.9,13058
'0:0:1.95,13079
'0:0:2.0,13106
'0:0:2.05,13147
'0:0:2.1,13195
'0:0:2.15,13259
'0:0:2.2,13324
'0:0:2.25,13400
'0:0:2.3,13468
'0:0:2.35,13528
'0:0:2.4,13576
'0:0:2.45,13631
'0:0:2.5,13683
'0:0:2.55,13730
'0:0:2.6,13762
'0:0:2.65,13789
'0:0:2.7,13805
'0:0:2.75,13814
'0:0:2.8,13821
'0:0:2.85,13830
'0:0:2.9,13837
'0:0:2.95,13840
'0:0:3.0,13844
'0:0:3.05,13846
'0:0:3.1,13847
'0:0:3.15,13850
'0:0:3.2,13848
'0:0:3.25,13841
'0:0:3.3,13838
'0:0:3.35,13831
'0:0:3.4,13814
'0:0:3.45,13794
'0:0:3.5,13780
'0:0:3.55,13766
'0:0:3.6,13752
'0:0:3.65,13739
'0:0:3.7,13731
'0:0:3.75,13717
'0:0:3.8,13697
'0:0:3.85,13682
'0:0:3.9,13677
'0:0:3.95,13671
'0:0:4.0,13661
'0:0:4.05,13647
'0:0:4.1,13631
'0:0:4.15,13609
'0:0:4.2,13582
'0:0:4.25,13547
'0:0:4.3,13514
'0:0:4.35,13480
'0:0:4.4,13450
'0:0:4.45,13421
'0:0:4.5,13400
'0:0:4.55,13382
'0:0:4.6,13366
'0:0:4.65,13340
'0:0:4.7,13314
'0:0:4.75,13288
'0:0:4.8,13260
'0:0:4.85,13226
'0:0:4.9,13199
'0:0:4.95,13175
'0:0:5.0,13157
'0:0:5.05,13136
'0:0:5.1,13118
'0:0:5.15,13100
'0:0:5.2,13086
'0:0:5.25,13075
'0:0:5.3,13067
'0:0:5.35,13057
'0:0:5.4,13050
'0:0:5.45,13043
'0:0:5.5,13036
'0:0:5.55,13028
'0:0:5.6,13024
'0:0:5.65,13024
'0:0:5.7,13022
'0:0:5.75,13015
'0:0:5.8,13014
'0:0:5.85,13017
'0:0:5.9,13016
'0:0:5.95,13014
'0:0:6.0,13015
'0:0:6.05,13016
'0:0:6.1,13016
'0:0:6.15,13019
'0:0:6.2,13022
'0:0:6.25,13024
'0:0:6.3,13025
'0:0:6.35,13024
'0:0:6.4,13025
'0:0:6.45,13027
'0:0:6.5,13028
'0:0:6.55,13032
'0:0:6.6,13035
'0:0:6.65,13039
'0:0:6.7,13049
'0:0:6.75,13068
'0:0:6.8,13096
'0:0:6.85,13138
'0:0:6.9,13190
'0:0:6.95,13268
'0:0:7.0,13366
'0:0:7.05,13479
'0:0:7.1,13558
'0:0:7.15,13624
'0:0:7.2,13677
'0:0:7.25,13726
'0:0:7.3,13762
'0:0:7.35,13789
'0:0:7.4,13807
'0:0:7.45,13824
'0:0:7.5,13843
'0:0:7.55,13866
'0:0:7.6,13890
'0:0:7.65,13917
'0:0:7.7,13944
'0:0:7.75,13971
'0:0:7.8,13997
'0:0:7.85,14028
'0:0:7.9,14057
'0:0:7.95,14087
'0:0:8.0,14107
'0:0:8.05,14120
'0:0:8.1,14125
'0:0:8.15,14116
'0:0:8.2,14099
'0:0:8.25,14082
'0:0:8.3,14067
'0:0:8.35,14052
'0:0:8.4,14039
'0:0:8.45,14026
'0:0:8.5,14007
'0:0:8.55,13979
'0:0:8.6,13953
'0:0:8.65,13930
'0:0:8.7,13914
'0:0:8.75,13893
'0:0:8.8,13865
'0:0:8.85,13818
'0:0:8.9,13747
'0:0:8.95,13658
'0:0:9.0,13603
'0:0:9.05,13575
'0:0:9.1,13553
'0:0:9.15,13519
'0:0:9.2,13480
'0:0:9.25,13437
'0:0:9.3,13406
'0:0:9.35,13377
'0:0:9.4,13350
'0:0:9.45,13321
'0:0:9.5,13299
'0:0:9.55,13276
'0:0:9.6,13251
'0:0:9.65,13222
'0:0:9.7,13198
'0:0:9.75,13176
'0:0:9.8,13158
'0:0:9.85,13139
'0:0:9.9,13123
'0:0:9.95,13108
'0:0:10.0,13096
'0:0:10.05,13087
'0:0:10.1,13079
'0:0:10.15,13071
'0:0:10.2,13065
'0:0:10.25,13060
'0:0:10.3,13056
'0:0:10.35,13051
'0:0:10.4,13047
'0:0:10.45,13045
'0:0:10.5,13046
'0:0:10.55,13046
'0:0:10.6,13043
'0:0:10.65,13043
'0:0:10.7,13044
'0:0:10.75,13045
'0:0:10.8,13045
'0:0:10.85,13047
'0:0:10.9,13048
'0:0:10.95,13048
'0:0:11.0,13052
'0:0:11.05,13060
'0:0:11.1,13069
'0:0:11.15,13082
'0:0:11.2,13096
'0:0:11.25,13115
