,실험 이름 :,20240731_LSK_3
지속기간:,2 0
율:,20 초당
센서 :,호흡 (ID 2  실험 1)
범위:,Arb
단위 :,Arb
시각
'-0:0:0.0,5178
'0:0:0.05,5178
'0:0:0.1,5179
'0:0:0.15,5181
'0:0:0.2,5183
'0:0:0.25,5184
'0:0:0.3,5187
'0:0:0.35,5190
'0:0:0.4,5190
'0:0:0.45,5191
'0:0:0.5,5191
'0:0:0.55,5191
'0:0:0.6,5192
'0:0:0.65,5192
'0:0:0.7,5191
'0:0:0.75,5195
'0:0:0.8,5204
'0:0:0.85,5215
'0:0:0.9,5228
'0:0:0.95,5245
'0:0:1.0,5259
'0:0:1.05,5276
'0:0:1.1,5297
'0:0:1.15,5324
'0:0:1.2,5356
'0:0:1.25,5401
'0:0:1.3,5457
'0:0:1.35,5543
'0:0:1.4,5632
'0:0:1.45,5719
'0:0:1.5,5799
'0:0:1.55,5884
'0:0:1.6,5954
'0:0:1.65,6020
'0:0:1.7,6072
'0:0:1.75,6118
'0:0:1.8,6145
'0:0:1.85,6154
'0:0:1.9,6137
'0:0:1.95,6080
'0:0:2.0,5987
'0:0:2.05,5849
'0:0:2.1,5716
'0:0:2.15,5599
'0:0:2.2,5520
'0:0:2.25,5458
'0:0:2.3,5410
'0:0:2.35,5362
'0:0:2.4,5323
'0:0:2.45,5288
'0:0:2.5,5263
'0:0:2.55,5241
'0:0:2.6,5227
'0:0:2.65,5216
'0:0:2.7,5210
'0:0:2.75,5206
'0:0:2.8,5203
'0:0:2.85,5202
'0:0:2.9,5202
'0:0:2.95,5200
'0:0:3.0,5197
'0:0:3.05,5192
'0:0:3.1,5187
'0:0:3.15,5184
'0:0:3.2,5179
'0:0:3.25,5175
'0:0:3.3,5172
'0:0:3.35,5169
'0:0:3.4,5167
'0:0:3.45,5169
'0:0:3.5,5172
'0:0:3.55,5172
'0:0:3.6,5173
'0:0:3.65,5174
'0:0:3.7,5176
'0:0:3.75,5177
'0:0:3.8,5177
'0:0:3.85,5178
'0:0:3.9,5179
'0:0:3.95,5181
'0:0:4.0,5182
'0:0:4.05,5183
'0:0:4.1,5182
'0:0:4.15,5182
'0:0:4.2,5181
'0:0:4.25,5180
'0:0:4.3,5180
'0:0:4.35,5179
'0:0:4.4,5178
'0:0:4.45,5177
'0:0:4.5,5174
'0:0:4.55,5172
'0:0:4.6,5171
'0:0:4.65,5173
'0:0:4.7,5176
'0:0:4.75,5183
'0:0:4.8,5193
'0:0:4.85,5203
'0:0:4.9,5215
'0:0:4.95,5232
'0:0:5.0,5250
'0:0:5.05,5273
'0:0:5.1,5296
'0:0:5.15,5324
'0:0:5.2,5357
'0:0:5.25,5404
'0:0:5.3,5473
'0:0:5.35,5596
'0:0:5.4,5749
'0:0:5.45,5915
'0:0:5.5,6035
'0:0:5.55,6122
'0:0:5.6,6168
'0:0:5.65,6186
'0:0:5.7,6185
'0:0:5.75,6167
'0:0:5.8,6138
'0:0:5.85,6097
'0:0:5.9,6047
'0:0:5.95,5977
'0:0:6.0,5903
'0:0:6.05,5817
'0:0:6.1,5729
'0:0:6.15,5630
'0:0:6.2,5547
'0:0:6.25,5475
'0:0:6.3,5422
'0:0:6.35,5372
'0:0:6.4,5332
'0:0:6.45,5298
'0:0:6.5,5272
'0:0:6.55,5250
'0:0:6.6,5234
'0:0:6.65,5218
'0:0:6.7,5206
'0:0:6.75,5196
'0:0:6.8,5189
'0:0:6.85,5182
'0:0:6.9,5178
'0:0:6.95,5173
'0:0:7.0,5166
'0:0:7.05,5160
'0:0:7.1,5157
'0:0:7.15,5153
'0:0:7.2,5153
'0:0:7.25,5156
'0:0:7.3,5158
'0:0:7.35,5159
'0:0:7.4,5159
'0:0:7.45,5161
'0:0:7.5,5163
'0:0:7.55,5164
'0:0:7.6,5165
'0:0:7.65,5166
'0:0:7.7,5168
'0:0:7.75,5170
'0:0:7.8,5171
'0:0:7.85,5170
'0:0:7.9,5169
'0:0:7.95,5169
'0:0:8.0,5169
'0:0:8.05,5168
'0:0:8.1,5168
'0:0:8.15,5166
'0:0:8.2,5165
'0:0:8.25,5164
'0:0:8.3,5161
'0:0:8.35,5158
'0:0:8.4,5156
'0:0:8.45,5154
'0:0:8.5,5152
'0:0:8.55,5152
'0:0:8.6,5155
'0:0:8.65,5158
'0:0:8.7,5160
'0:0:8.75,5163
'0:0:8.8,5167
'0:0:8.85,5170
'0:0:8.9,5175
'0:0:8.95,5187
'0:0:9.0,5207
'0:0:9.05,5234
'0:0:9.1,5264
'0:0:9.15,5305
'0:0:9.2,5359
'0:0:9.25,5439
'0:0:9.3,5536
'0:0:9.35,5664
'0:0:9.4,5778
'0:0:9.45,5871
'0:0:9.5,5929
'0:0:9.55,5979
'0:0:9.6,6012
'0:0:9.65,6032
'0:0:9.7,6045
'0:0:9.75,6052
'0:0:9.8,6041
'0:0:9.85,6010
'0:0:9.9,5967
'0:0:9.95,5900
'0:0:10.0,5804
'0:0:10.05,5680
'0:0:10.1,5583
'0:0:10.15,5498
'0:0:10.2,5429
'0:0:10.25,5371
'0:0:10.3,5329
'0:0:10.35,5289
'0:0:10.4,5258
'0:0:10.45,5235
'0:0:10.5,5220
'0:0:10.55,5207
'0:0:10.6,5197
'0:0:10.65,5189
'0:0:10.7,5182
'0:0:10.75,5175
'0:0:10.8,5166
'0:0:10.85,5159
'0:0:10.9,5155
'0:0:10.95,5150
'0:0:11.0,5147
'0:0:11.05,5149
'0:0:11.1,5152
'0:0:11.15,5153
'0:0:11.2,5156
'0:0:11.25,5161
